Date,Slumgullion (762) Air Temperature Average (degF),Slumgullion (762) Air Temperature Minimum (degF),Slumgullion (762) Air Temperature Maximum (degF),Slumgullion (762) Precipitation Accumulation (in) Start of Day Values,Slumgullion (762) Precipitation Increment (in),Slumgullion (762) Snow Water Equivalent (in) Start of Day Values,Slumgullion (762) Snow Depth (in) Start of Day Values
2016-02-21,26.4,15.1,39.0,11.5,0.0,11.9,43
2016-02-22,16.7,11.1,27.7,11.5,0.0,12.0,42
2016-02-23,10.4,3.9,17.1,11.5,0.1,12.0,42
2016-02-24,16.3,1.2,29.7,11.6,0.1,12.1,44
2016-02-25,24.1,14.9,35.1,11.7,0.1,12.2,45
2016-02-26,28.2,15.6,44.8,11.8,0.0,12.2,45
2016-02-27,30.6,21.2,43.7,11.8,0.0,12.2,44
2016-02-28,27.5,18.0,40.3,11.8,0.0,12.2,42
2016-02-29,26.2,17.1,35.6,11.8,0.0,12.2,42
2016-03-01,27.3,18.3,38.5,11.8,0.0,12.2,42
2016-03-02,27.3,21.2,32.7,11.8,0.0,12.2,42
2016-03-03,30.6,14.9,45.9,11.8,0.0,12.2,42
2016-03-04,31.5,23.5,44.2,11.8,0.0,12.2,42
2016-03-05,30.6,25.0,43.9,11.8,0.0,12.2,42
2016-03-06,28.0,19.9,40.5,11.8,0.1,12.2,42
2016-03-07,16.9,5.5,29.3,11.9,0.1,12.3,42
2016-03-08,18.3,6.3,36.3,12.0,0.0,12.3,41
2016-03-09,19.2,8.2,30.7,12.0,0.0,12.3,43
2016-03-10,29.5,13.3,44.8,12.0,0.1,12.3,42
2016-03-11,35.2,26.4,49.5,12.1,0.0,12.4,42
2016-03-12,26.8,20.3,38.1,12.1,0.0,12.4,41
2016-03-13,26.8,18.0,41.9,12.1,0.0,12.4,41
2016-03-14,25.7,15.6,37.8,12.1,0.1,12.5,41
2016-03-15,14.9,7.7,21.6,12.2,0.1,12.5,43
2016-03-16,17.1,9.0,27.0,12.3,0.1,12.7,44
2016-03-17,23.2,12.2,35.1,12.4,0.1,12.8,46
2016-03-18,23.7,15.3,34.2,12.5,0.0,12.9,44
2016-03-19,23.4,16.2,33.3,12.5,0.0,12.9,44
2016-03-20,27.1,12.6,41.7,12.5,0.1,12.9,44
2016-03-21,34.3,22.5,47.7,12.6,0.0,13.0,43
2016-03-22,27.3,9.0,39.2,12.6,0.0,13.2,42
2016-03-23,13.8,9.1,21.2,12.6,0.0,13.2,42
2016-03-24,19.9,9.1,34.5,12.6,0.2,13.2,44
2016-03-25,18.0,12.0,28.2,12.8,0.0,13.4,43
2016-03-26,12.2,3.0,21.4,12.8,0.0,13.4,44
2016-03-27,21.0,2.1,35.1,12.8,0.2,13.4,45
2016-03-28,28.4,21.2,42.1,13.0,0.1,13.7,45
2016-03-29,18.7,2.3,29.3,13.1,0.6,13.8,45
2016-03-30,10.9,-2.2,25.3,13.7,0.1,14.3,52
2016-03-31,15.6,6.6,26.4,13.8,0.1,14.3,51
2016-04-01,16.5,7.2,30.4,13.9,0.0,14.3,49
2016-04-02,25.9,11.3,42.4,13.9,0.1,14.3,50
2016-04-03,30.7,17.4,43.7,14.0,0.0,14.4,48
2016-04-04,34.7,23.5,47.5,14.0,0.0,14.4,46
2016-04-05,27.3,16.5,41.7,14.0,0.0,14.4,46
2016-04-06,30.6,13.5,44.4,14.0,0.0,14.2,46
2016-04-07,38.1,26.4,49.8,14.0,0.1,14.1,44
2016-04-08,34.3,28.8,45.3,14.1,0.0,14.0,42
2016-04-09,32.5,23.9,46.6,14.1,0.0,14.0,41
2016-04-10,31.5,24.6,44.2,14.1,0.0,13.9,41
2016-04-11,29.8,22.1,43.7,14.1,0.0,13.6,39
2016-04-12,29.8,24.6,40.8,14.1,0.0,13.4,38
2016-04-13,34.3,23.9,48.0,14.1,0.1,13.1,35
2016-04-14,35.2,27.3,47.1,14.2,0.0,12.8,35
2016-04-15,27.5,19.2,38.5,14.2,0.2,12.1,32
2016-04-16,19.2,14.4,23.5,14.4,0.5,12.3,36
2016-04-17,17.2,10.0,31.8,14.9,0.3,12.9,39
2016-04-18,18.7,11.7,31.6,15.2,0.5,13.3,42
2016-04-19,21.6,8.1,36.0,15.7,0.2,13.8,48
2016-04-20,29.1,21.9,36.0,15.9,0.0,14.1,44
2016-04-21,36.0,21.6,48.0,15.9,0.0,14.1,42
2016-04-22,40.3,30.9,51.8,15.9,0.0,13.9,40
2016-04-23,32.0,19.9,46.8,15.9,0.0,13.7,39
2016-04-24,30.7,15.3,43.2,15.9,0.1,13.5,38
2016-04-25,26.6,11.7,40.1,16.0,0.2,13.6,36
2016-04-26,20.7,10.2,34.2,16.2,0.2,13.6,40
2016-04-27,26.4,16.3,41.2,16.4,0.1,13.7,36
2016-04-28,26.8,20.1,40.1,16.5,0.4,13.8,36
2016-04-29,22.5,16.7,30.6,16.9,0.2,14.1,40
2016-04-30,25.5,14.7,38.3,17.1,0.2,14.4,40
2016-05-01,23.2,18.3,30.0,17.3,0.0,14.4,40
2016-05-02,27.9,18.7,42.1,17.3,0.1,14.4,40
2016-05-03,34.7,19.9,48.0,17.4,0.0,14.7,38
2016-05-04,41.4,29.3,54.3,17.4,0.0,14.3,37
2016-05-05,43.9,34.7,56.7,17.4,0.0,13.8,35
2016-05-06,40.1,31.3,50.2,17.4,0.0,12.5,32
2016-05-07,29.3,21.0,38.8,17.4,0.0,12.0,29
2016-05-08,27.9,18.7,39.6,17.4,0.0,11.8,30
2016-05-09,32.4,24.1,41.0,17.4,0.1,11.4,27
2016-05-10,32.5,20.7,42.8,17.5,0.3,10.8,26
2016-05-11,28.8,18.7,38.3,17.8,0.1,10.2,27
2016-05-12,37.8,23.2,49.3,17.9,0.0,10.5,26
2016-05-13,42.1,29.3,53.2,17.9,0.0,9.6,22
2016-05-14,44.6,34.7,54.7,17.9,0.0,8.2,19
2016-05-15,38.1,32.2,47.3,17.9,0.0,6.9,15
2016-05-16,32.7,26.8,43.7,17.9,0.0,6.2,14
2016-05-17,30.7,24.8,43.0,17.9,0.5,5.8,14
2016-05-18,31.6,24.4,44.4,18.4,0.5,5.7,15
2016-05-19,35.6,25.2,47.8,18.9,0.0,5.9,18
2016-05-20,40.6,31.3,50.7,18.9,0.0,5.7,13
2016-05-21,41.9,31.8,50.9,18.9,0.0,4.9,10
2016-05-22,38.5,29.7,48.9,18.9,0.0,3.0,5
2016-05-23,38.1,28.8,47.8,18.9,0.0,1.4,2
2016-05-24,38.8,29.5,48.9,18.9,0.0,0.6,1
2016-05-25,37.0,27.9,48.0,18.9,0.0,0.0,0
2016-05-26,30.6,24.3,40.5,18.9,0.0,0.0,0
2016-05-27,32.4,25.9,42.8,18.9,0.0,0.0,0
2016-05-28,37.4,25.3,52.5,18.9,0.0,0.0,0
2016-05-29,41.4,33.8,51.4,18.9,0.0,0.0,0
2016-05-30,43.7,32.7,56.5,18.9,0.0,0.0,0
2016-05-31,45.0,35.1,57.7,18.9,0.0,0.0,0
2016-06-01,44.6,35.8,57.0,18.9,0.0,0.0,0
2016-06-02,47.5,33.1,58.8,18.9,0.0,0.0,0
2016-06-03,49.6,38.5,60.1,18.9,0.0,0.0,0
2016-06-04,53.4,43.0,65.7,18.9,0.0,0.0,0
2016-06-05,54.9,43.7,68.0,18.9,0.0,0.0,0
2016-06-06,50.7,42.3,66.0,18.9,0.0,0.0,0
2016-06-07,53.8,41.9,67.8,18.9,0.0,0.0,0
2016-06-08,51.3,39.6,64.0,18.9,0.0,0.0,0
2016-06-09,53.4,39.6,65.8,18.9,0.0,0.0,0
2016-06-10,57.6,45.7,72.3,18.9,0.0,0.0,0
2016-06-11,51.8,42.3,64.9,18.9,0.0,0.0,0
2016-06-12,49.8,39.9,60.4,18.9,0.0,0.0,0
2016-06-13,45.9,33.1,62.1,18.9,0.0,0.0,0
2016-06-14,47.7,32.9,61.5,18.9,0.0,0.0,0
2016-06-15,53.4,41.0,67.6,18.9,0.0,0.0,0
2016-06-16,52.7,40.5,66.0,18.9,0.0,0.0,0
2016-06-17,55.9,43.9,72.3,18.9,0.0,0.0,0
2016-06-18,59.5,,73.8,18.9,0.0,0.0,0
2016-06-19,62.1,49.6,76.5,18.9,0.0,0.0,0
2016-06-20,61.0,49.3,76.8,18.9,0.0,0.0,0
2016-06-21,55.2,44.8,73.0,18.9,0.0,0.0,0
2016-06-22,53.6,45.5,67.5,18.9,0.0,0.0,0
2016-06-23,55.4,49.1,67.6,18.9,0.0,0.0,0
2016-06-24,52.5,45.7,64.4,18.9,0.0,0.0,0
2016-06-25,55.2,47.5,66.2,18.9,0.0,0.0,0
2016-06-26,57.4,47.5,70.0,18.9,0.0,0.0,0
2016-06-27,58.6,48.0,68.4,18.9,0.0,0.0,0
2016-06-28,54.7,45.9,66.6,18.9,0.0,0.0,0
2016-06-29,51.6,43.5,65.8,18.9,0.0,0.0,0
2016-06-30,47.5,41.4,58.6,18.9,0.1,0.0,0
2016-07-01,43.9,41.2,49.8,19.0,0.5,0.0,0
2016-07-02,44.2,38.8,50.2,19.5,0.1,0.0,0
2016-07-03,45.3,36.7,55.6,19.6,0.2,0.0,0
2016-07-04,48.4,40.3,61.9,19.8,0.0,0.0,0
2016-07-05,54.3,41.2,67.5,19.8,0.0,0.0,0
2016-07-06,55.9,45.7,67.8,19.8,0.0,0.0,0
2016-07-07,55.2,43.2,68.7,19.8,0.0,0.0,0
2016-07-08,55.0,,67.8,19.8,0.0,0.0,0
2016-07-09,58.6,47.1,72.0,19.8,0.0,0.0,0
2016-07-10,57.9,44.6,72.0,19.8,0.0,0.0,0
2016-07-11,53.4,42.6,66.9,19.8,0.0,0.0,0
2016-07-12,55.8,45.0,70.0,19.8,0.0,0.0,0
2016-07-13,56.8,46.4,68.7,19.8,0.0,0.0,0
2016-07-14,57.6,44.4,71.1,19.8,0.0,0.0,0
2016-07-15,57.2,47.7,69.8,19.8,0.0,0.0,0
2016-07-16,58.8,48.0,71.8,19.8,0.0,0.0,0
2016-07-17,58.5,48.4,71.6,19.8,0.0,0.0,0
2016-07-18,54.7,44.8,71.8,19.8,0.0,0.0,0
2016-07-19,50.0,42.3,61.5,19.8,0.2,0.0,0
2016-07-20,50.4,42.6,59.5,20.0,0.5,0.0,0
2016-07-21,53.6,45.3,64.4,20.5,0.1,0.0,0
2016-07-22,50.9,45.3,62.2,20.6,0.0,0.0,0
2016-07-23,55.8,46.8,69.1,20.6,0.1,0.0,0
2016-07-24,56.5,47.7,68.9,20.7,0.0,0.0,0
2016-07-25,56.1,47.7,67.3,20.7,0.0,0.0,0
2016-07-26,50.4,,61.2,20.7,0.0,0.0,0
2016-07-27,57.9,45.0,68.9,20.7,0.0,0.0,0
2016-07-28,60.1,51.3,71.1,20.7,0.0,0.0,0
2016-07-29,59.0,49.5,69.6,20.7,0.0,0.0,0
2016-07-30,54.3,47.7,66.9,20.7,0.0,0.0,0
2016-07-31,50.7,44.4,62.6,20.7,0.2,0.0,0
2016-08-01,53.6,44.1,65.8,20.9,0.0,0.0,0
2016-08-02,53.8,45.9,63.7,20.9,0.1,0.0,0
2016-08-03,52.5,45.3,62.8,21.0,0.0,0.0,0
2016-08-04,49.1,42.6,63.3,21.0,0.1,0.0,0
2016-08-05,47.1,41.9,54.7,21.1,0.4,0.0,0
2016-08-06,48.0,41.9,59.5,21.5,0.0,0.0,0
2016-08-07,51.3,41.0,65.7,21.5,0.0,0.0,0
2016-08-08,52.2,44.1,64.9,21.5,0.0,0.0,0
2016-08-09,51.1,46.6,61.9,21.5,0.1,0.0,0
2016-08-10,49.8,41.9,60.4,21.6,0.0,0.0,0
2016-08-11,51.1,41.2,64.2,21.6,0.0,0.0,0
2016-08-12,50.7,40.1,61.0,21.6,0.0,0.0,0
2016-08-13,51.4,45.5,62.8,21.6,0.0,0.0,0
2016-08-14,51.6,41.2,63.3,21.6,0.0,0.0,0
2016-08-15,52.9,44.4,63.1,21.6,0.0,0.0,0
2016-08-16,46.8,40.8,63.0,21.6,0.1,0.0,0
2016-08-17,44.6,37.2,59.5,21.7,0.3,0.0,0
2016-08-18,43.9,38.1,53.6,22.0,0.0,0.0,0
2016-08-19,47.1,38.8,57.2,22.0,0.0,0.0,0
2016-08-20,51.1,40.3,63.5,22.0,0.0,0.0,0
2016-08-21,49.8,40.5,61.7,22.0,0.1,0.0,0
2016-08-22,44.1,36.3,55.2,22.1,0.1,0.0,0
2016-08-23,40.6,35.6,50.0,22.2,0.3,0.0,0
2016-08-24,43.5,35.1,53.8,22.5,0.0,0.0,0
2016-08-25,42.4,32.9,55.0,22.5,0.0,0.0,0
2016-08-26,41.7,32.4,53.6,22.5,0.0,0.0,0
2016-08-27,40.3,35.8,52.2,22.5,0.6,0.0,0
2016-08-28,42.1,35.6,54.0,23.1,0.0,0.0,0
2016-08-29,41.9,36.1,51.3,23.1,0.0,0.0,0
2016-08-30,45.5,37.4,54.1,23.1,0.0,0.0,0
2016-08-31,49.5,40.3,60.8,23.1,0.0,0.0,0
2016-09-01,47.1,40.1,57.4,23.1,0.3,0.0,0
2016-09-02,48.0,41.0,61.2,23.4,0.0,0.0,0
2016-09-03,46.6,40.1,61.2,23.4,0.1,0.0,0
2016-09-04,46.8,40.5,58.8,23.5,0.0,0.0,0
2016-09-05,50.0,40.1,61.9,23.5,0.0,0.0,0
2016-09-06,47.8,40.1,59.0,23.5,0.0,0.0,0
2016-09-07,49.5,38.3,65.5,23.5,0.0,0.0,0
2016-09-08,49.3,36.3,63.5,23.5,0.0,0.0,0
2016-09-09,48.2,35.6,62.6,23.5,0.0,0.0,0
2016-09-10,50.0,40.8,63.9,23.5,0.0,0.0,0
2016-09-11,47.8,39.9,60.4,23.5,0.0,0.0,0
2016-09-12,43.7,32.0,59.2,23.5,0.1,0.0,0
2016-09-13,40.5,30.0,54.1,23.6,0.0,0.0,0
2016-09-14,41.0,35.1,55.2,23.6,0.0,0.0,0
2016-09-15,41.4,31.3,56.1,23.6,0.0,0.0,0
2016-09-16,42.4,32.5,57.2,23.6,0.0,0.0,0
2016-09-17,41.9,32.4,54.3,23.6,0.0,0.0,0
2016-09-18,47.1,34.0,61.7,23.6,0.0,0.0,0
2016-09-19,51.6,39.9,65.5,23.6,0.0,0.0,0
2016-09-20,45.5,35.1,58.8,23.6,0.2,0.0,0
2016-09-21,44.2,37.0,54.7,23.8,0.1,0.0,0
2016-09-22,45.0,39.9,55.9,23.9,0.1,0.0,0
2016-09-23,29.5,16.5,41.7,24.0,0.4,0.0,0
2016-09-24,28.4,19.4,36.3,24.4,0.1,0.0,0
2016-09-25,37.4,24.8,50.9,24.5,0.0,0.0,0
2016-09-26,44.2,34.5,56.7,24.5,0.0,0.0,0
2016-09-27,46.8,36.7,61.5,24.5,0.0,0.0,0
2016-09-28,47.5,39.6,60.1,24.5,0.0,0.0,0
2016-09-29,41.9,36.7,50.2,24.5,0.0,0.0,0
2016-09-30,39.2,33.8,50.4,24.5,0.5,0.0,0
