Date,Spud Mountain (780) Air Temperature Average (degF),Spud Mountain (780) Air Temperature Minimum (degF),Spud Mountain (780) Air Temperature Maximum (degF),Spud Mountain (780) Precipitation Accumulation (in) Start of Day Values,Spud Mountain (780) Precipitation Increment (in),Spud Mountain (780) Snow Water Equivalent (in) Start of Day Values,Spud Mountain (780) Snow Depth (in) Start of Day Values
2015-12-09,35.8,28.0,47.5,9.1,0.0,4.8,18
2015-12-10,31.8,28.0,39.0,9.1,0.0,4.8,17
2015-12-11,26.4,21.6,31.8,9.1,0.1,4.8,17
2015-12-12,19.9,13.3,32.7,9.2,0.2,4.9,18
2015-12-13,23.0,12.2,40.5,9.4,0.2,5.4,25
2015-12-14,14.5,7.9,22.5,9.6,0.4,5.4,23
2015-12-15,5.2,-2.7,15.3,10.0,0.2,6.2,30
2015-12-16,6.3,-2.7,21.0,10.2,0.4,6.4,33
2015-12-17,10.4,3.2,25.2,10.6,0.2,6.5,33
2015-12-18,25.3,,38.1,10.8,0.1,6.6,30
2015-12-19,28.4,23.0,37.2,10.9,0.0,6.6,28
2015-12-20,18.7,11.7,25.0,10.9,0.1,6.6,27
2015-12-21,17.1,8.1,26.8,11.0,0.7,7.2,33
2015-12-22,18.3,16.5,21.4,11.7,1.7,7.9,42
2015-12-23,11.5,-4.4,17.2,13.4,0.3,9.7,62
2015-12-24,6.1,-6.7,15.3,13.7,0.6,10.0,60
2015-12-25,3.7,-6.2,19.6,14.3,1.0,10.6,64
2015-12-26,17.4,8.1,37.2,15.3,0.2,11.7,62
2015-12-27,14.0,7.0,27.9,15.5,0.0,11.7,57
2015-12-28,8.6,1.2,22.6,15.5,0.0,11.7,53
2015-12-29,8.1,3.6,20.5,15.5,0.2,11.8,55
2015-12-30,,,,15.7,0.0,12.0,54
2015-12-31,7.3,0.1,25.7,15.7,0.0,12.0,53
2016-01-01,10.0,0.1,27.0,15.7,0.2,12.0,52
2016-01-02,21.0,7.0,38.3,15.9,0.1,12.0,52
2016-01-03,24.4,17.2,40.8,16.0,0.0,12.1,49
2016-01-04,22.3,18.0,31.8,16.0,0.0,12.1,48
2016-01-05,19.8,14.0,25.5,16.0,0.0,12.1,46
2016-01-06,19.9,14.7,24.3,16.0,0.4,12.3,47
2016-01-07,15.6,9.0,23.0,16.4,0.2,12.7,49
2016-01-08,12.6,4.3,20.7,16.6,0.4,13.0,53
2016-01-09,7.9,-1.1,27.3,17.0,0.0,13.4,55
2016-01-10,6.3,-1.8,25.0,17.0,0.1,13.4,53
2016-01-11,15.3,3.2,30.6,17.1,0.1,13.4,52
2016-01-12,23.2,10.8,43.9,17.2,0.1,13.4,51
2016-01-13,25.7,17.8,44.2,17.3,0.0,13.4,49
2016-01-14,14.2,5.2,28.0,17.3,0.0,13.4,48
2016-01-15,12.9,6.1,21.6,17.3,0.0,13.4,48
2016-01-16,16.3,5.5,32.4,17.3,0.1,13.5,49
2016-01-17,19.4,13.8,28.8,17.4,0.2,13.6,50
2016-01-18,24.4,19.2,39.6,17.6,0.1,13.7,50
2016-01-19,20.3,14.5,32.7,17.7,0.0,13.8,48
2016-01-20,15.4,5.2,31.3,17.7,0.1,13.9,47
2016-01-21,20.8,5.0,38.8,17.8,0.2,14.2,53
2016-01-22,30.6,23.7,46.6,18.0,0.1,14.2,50
2016-01-23,29.1,21.9,43.0,18.1,0.0,14.2,49
2016-01-24,18.0,9.3,23.5,18.1,0.2,14.2,48
2016-01-25,9.1,0.7,21.9,18.3,0.0,14.6,55
2016-01-26,14.2,0.3,30.2,18.3,0.1,14.6,54
2016-01-27,29.7,20.7,43.9,18.4,0.1,14.7,52
2016-01-28,30.9,23.4,47.8,18.5,0.1,14.7,50
2016-01-29,29.5,22.6,44.2,18.6,0.0,14.7,49
2016-01-30,27.5,23.7,38.3,18.6,0.1,14.7,48
2016-01-31,23.5,22.6,24.6,18.7,2.5,15.1,50
2016-02-01,12.0,2.8,23.2,21.2,1.4,17.8,71
2016-02-02,1.9,-7.8,12.9,22.6,0.0,19.2,82
2016-02-03,-1.7,-9.0,15.3,22.6,0.1,19.2,75
2016-02-04,9.0,-2.0,21.0,22.7,0.1,19.2,72
2016-02-05,11.5,2.5,23.2,22.8,0.1,19.3,71
2016-02-06,23.2,12.2,41.4,22.9,0.0,19.3,70
2016-02-07,29.5,21.2,42.3,22.9,0.1,19.3,68
2016-02-08,30.9,23.5,43.7,23.0,0.0,19.3,66
2016-02-09,31.6,23.0,46.2,23.0,0.0,19.3,63
2016-02-10,33.8,25.0,53.2,23.0,0.0,19.3,63
2016-02-11,33.4,23.9,49.1,23.0,0.0,19.3,61
2016-02-12,36.1,27.3,52.5,23.0,0.0,19.2,60
2016-02-13,34.5,24.4,49.1,23.0,0.0,19.2,58
2016-02-14,27.9,21.4,41.4,23.0,0.0,19.2,57
2016-02-15,30.7,22.6,44.2,23.0,0.0,19.2,57
2016-02-16,33.8,24.1,49.6,23.0,0.0,19.2,57
2016-02-17,35.2,26.8,48.0,23.0,0.0,19.1,56
2016-02-18,31.6,27.1,35.8,23.0,0.0,19.1,55
2016-02-19,29.8,21.6,41.9,23.0,0.0,19.1,54
2016-02-20,32.5,23.2,46.8,23.0,0.0,19.1,54
2016-02-21,30.6,19.9,46.8,23.0,0.0,19.1,53
2016-02-22,21.2,13.1,32.5,23.0,0.0,19.1,52
2016-02-23,16.3,7.2,25.9,23.0,0.0,19.1,51
2016-02-24,21.4,6.3,38.1,23.0,0.0,19.1,52
2016-02-25,29.3,21.4,44.1,23.0,0.0,19.1,52
2016-02-26,31.5,20.7,47.5,23.0,0.0,18.9,51
2016-02-27,32.7,24.3,46.2,23.0,0.0,18.9,50
2016-02-28,32.7,25.0,47.5,23.0,0.0,18.9,49
2016-02-29,31.6,24.8,43.0,23.0,0.0,18.9,48
2016-03-01,31.5,23.0,43.5,23.0,0.0,18.8,48
2016-03-02,31.6,24.8,43.2,23.0,0.0,18.7,46
2016-03-03,34.5,23.7,49.6,23.0,0.0,18.6,45
2016-03-04,35.6,28.8,48.9,23.0,0.0,18.4,45
2016-03-05,34.5,28.4,45.9,23.0,0.0,18.1,45
2016-03-06,28.0,24.8,32.5,23.0,0.6,18.0,44
2016-03-07,18.3,9.3,30.6,23.6,0.0,18.9,53
2016-03-08,19.9,7.5,38.7,23.6,0.0,18.9,53
2016-03-09,22.5,10.2,38.5,23.6,0.0,18.9,52
2016-03-10,33.3,18.3,52.7,23.6,0.0,18.9,51
2016-03-11,37.9,27.7,52.7,23.6,0.0,18.9,48
2016-03-12,29.5,23.9,39.4,23.6,0.0,18.9,46
2016-03-13,30.0,21.0,43.0,23.6,0.0,18.8,46
2016-03-14,30.0,19.8,41.9,23.6,0.0,18.8,46
2016-03-15,22.5,14.5,36.5,23.6,0.0,18.8,46
2016-03-16,24.6,11.7,38.8,23.6,0.0,18.7,46
2016-03-17,30.0,19.6,43.5,23.6,0.0,18.6,45
2016-03-18,29.8,21.4,43.9,23.6,0.0,18.5,44
2016-03-19,29.7,22.3,41.0,23.6,0.0,18.2,43
2016-03-20,,19.4,47.5,23.6,0.0,18.0,42
2016-03-21,37.9,28.4,50.7,23.6,0.0,17.5,41
2016-03-22,30.4,14.2,41.9,23.6,0.0,17.1,40
2016-03-23,17.4,12.9,25.7,23.6,0.0,17.1,40
2016-03-24,25.2,12.4,44.2,23.6,0.1,17.4,40
2016-03-25,22.6,17.2,35.1,23.7,0.0,17.4,40
2016-03-26,16.9,6.1,34.5,23.7,0.2,17.5,39
2016-03-27,23.5,4.6,39.2,23.9,0.3,17.7,42
2016-03-28,30.4,26.2,43.7,24.2,0.1,18.0,40
2016-03-29,21.2,10.0,29.3,24.3,0.1,18.2,42
2016-03-30,14.9,5.9,30.0,24.4,0.2,18.3,46
2016-03-31,18.3,8.4,38.1,24.6,0.1,18.3,46
2016-04-01,21.2,9.0,36.0,24.7,0.2,18.3,44
2016-04-02,29.1,14.4,44.6,24.9,0.1,18.3,42
2016-04-03,34.0,22.6,47.7,25.0,0.0,17.5,41
2016-04-04,37.8,26.8,52.5,25.0,0.0,16.8,39
2016-04-05,33.3,19.9,46.6,25.0,0.0,16.8,39
2016-04-06,35.1,18.7,52.2,25.0,0.0,16.4,37
2016-04-07,41.7,28.8,55.4,25.0,0.0,16.1,34
2016-04-08,35.2,30.2,43.7,25.0,0.2,15.2,33
2016-04-09,32.7,30.0,41.7,25.2,0.2,14.8,36
2016-04-10,34.0,26.4,49.5,25.4,0.1,14.5,35
2016-04-11,32.9,25.2,49.5,25.5,0.0,14.4,34
2016-04-12,32.5,25.9,46.2,25.5,0.1,14.4,32
2016-04-13,37.4,26.8,51.8,25.6,0.1,14.3,32
2016-04-14,38.5,32.4,45.9,25.7,0.1,14.0,32
2016-04-15,28.4,20.1,34.9,25.8,0.2,13.6,31
2016-04-16,24.4,19.6,35.2,26.0,0.6,14.2,33
2016-04-17,21.2,13.5,33.8,26.6,0.2,14.4,39
2016-04-18,21.4,13.6,32.0,26.8,0.3,14.5,39
2016-04-19,25.2,11.5,42.8,27.1,0.2,14.7,39
2016-04-20,33.3,25.3,48.2,27.3,0.0,14.7,38
2016-04-21,39.4,28.4,53.2,27.3,0.1,14.6,37
2016-04-22,43.0,33.4,55.9,27.4,0.0,14.4,35
2016-04-23,35.2,26.4,46.6,27.4,0.0,14.1,33
2016-04-24,35.6,23.5,51.6,27.4,0.0,14.0,31
2016-04-25,28.8,18.7,40.3,27.4,0.0,13.8,29
2016-04-26,22.6,18.3,29.7,27.4,0.2,13.3,30
2016-04-27,30.0,19.8,47.5,27.6,0.2,13.4,30
2016-04-28,29.8,23.2,41.9,27.8,0.4,13.6,31
2016-04-29,25.9,19.4,41.9,28.2,0.2,13.9,34
2016-04-30,29.5,19.8,46.0,28.4,0.3,14.0,32
2016-05-01,26.8,24.1,33.3,28.7,0.5,14.0,31
2016-05-02,30.6,22.3,49.5,29.2,0.3,14.4,35
2016-05-03,37.8,22.6,56.7,29.5,0.2,14.6,36
2016-05-04,42.8,30.4,58.5,29.7,0.0,14.4,32
2016-05-05,46.6,34.3,60.4,29.7,0.0,13.7,30
2016-05-06,42.3,33.8,54.0,29.7,0.1,12.4,27
2016-05-07,30.6,25.0,41.0,29.8,0.0,11.7,26
2016-05-08,28.2,23.9,37.9,29.8,0.4,11.3,21
2016-05-09,35.1,27.3,49.8,30.2,1.0,11.8,28
2016-05-10,35.1,29.1,48.9,31.2,0.3,12.4,31
2016-05-11,32.9,25.7,46.2,31.5,0.2,12.8,32
2016-05-12,40.5,24.4,57.9,31.7,0.2,12.9,30
2016-05-13,46.2,32.4,62.6,31.9,0.0,12.6,28
2016-05-14,47.8,38.7,61.3,31.9,0.0,11.6,25
2016-05-15,41.0,34.3,51.8,31.9,0.1,10.8,23
2016-05-16,32.9,27.9,45.5,32.0,0.1,10.0,20
2016-05-17,33.3,27.7,48.0,32.1,0.2,10.1,21
2016-05-18,32.5,28.4,46.8,32.3,0.4,10.3,21
2016-05-19,37.4,28.8,52.0,32.7,0.2,10.6,22
2016-05-20,43.0,35.1,52.5,32.9,0.1,10.3,22
2016-05-21,44.1,35.2,54.0,33.0,0.0,9.4,19
2016-05-22,39.9,31.8,51.3,33.0,0.0,8.1,16
2016-05-23,39.2,32.0,50.2,33.0,0.0,7.2,15
2016-05-24,40.6,32.4,50.7,33.0,0.0,6.4,10
2016-05-25,40.1,29.8,51.6,33.0,0.0,5.5,10
2016-05-26,34.3,29.1,42.4,33.0,0.0,4.3,8
2016-05-27,35.8,29.3,49.5,33.0,0.0,4.2,7
2016-05-28,39.0,30.0,52.0,33.0,0.0,3.7,6
2016-05-29,43.9,34.5,57.4,33.0,0.0,2.9,5
2016-05-30,44.1,35.1,57.6,33.0,0.0,2.3,4
2016-05-31,45.9,34.3,59.9,33.0,0.0,1.6,3
2016-06-01,45.7,36.3,57.7,33.0,0.0,0.4,2
2016-06-02,49.5,37.9,61.7,33.0,0.0,0.2,1
2016-06-03,51.3,42.6,63.5,33.0,0.0,0.0,0
2016-06-04,54.1,43.7,66.6,33.0,0.0,0.0,0
2016-06-05,55.4,45.9,68.7,33.0,0.0,0.0,0
2016-06-06,51.1,44.8,67.6,33.0,0.0,0.0,0
2016-06-07,54.7,45.5,67.3,33.0,0.1,0.0,0
2016-06-08,50.7,42.8,61.5,33.1,0.1,0.0,0
2016-06-09,55.0,44.1,70.0,33.2,0.1,0.0,0
2016-06-10,58.8,46.2,71.4,33.3,0.2,0.0,0
2016-06-11,53.1,45.3,64.8,33.5,0.1,0.0,0
2016-06-12,50.7,40.1,63.1,33.6,0.1,0.0,0
2016-06-13,45.0,36.9,60.8,33.7,0.0,0.0,0
2016-06-14,47.8,36.9,63.0,33.7,0.0,0.0,0
2016-06-15,52.5,42.4,65.5,33.7,0.1,0.0,0
2016-06-16,50.7,38.3,64.2,33.8,0.0,0.0,0
2016-06-17,54.9,42.1,68.9,33.8,0.0,0.0,0
2016-06-18,58.8,43.2,74.8,33.8,0.1,0.0,0
2016-06-19,62.2,49.6,77.7,33.9,0.0,0.0,0
2016-06-20,63.1,50.9,78.8,33.9,0.0,0.0,0
2016-06-21,59.5,50.2,76.8,33.9,0.0,0.0,0
2016-06-22,56.7,49.5,72.3,33.9,0.0,0.0,0
2016-06-23,58.5,49.5,70.5,33.9,0.0,0.0,0
2016-06-24,55.0,47.3,68.2,33.9,0.0,0.0,0
2016-06-25,55.6,48.4,66.9,33.9,0.0,0.0,0
2016-06-26,57.4,47.3,73.2,33.9,0.0,0.0,0
2016-06-27,60.1,46.0,75.2,33.9,0.0,0.0,0
2016-06-28,53.2,46.4,65.8,33.9,0.0,0.0,0
2016-06-29,52.5,44.1,67.6,33.9,0.0,0.0,0
2016-06-30,49.6,44.2,60.6,33.9,0.0,0.0,0
2016-07-01,46.2,44.1,49.3,33.9,0.3,0.0,0
2016-07-02,46.6,41.9,54.0,34.2,0.2,0.0,0
2016-07-03,50.4,39.6,66.2,34.4,0.2,0.0,0
2016-07-04,49.5,42.1,65.8,34.6,0.0,0.0,0
2016-07-05,56.5,47.5,68.2,34.6,0.2,0.0,0
2016-07-06,55.9,47.1,68.0,34.8,0.0,0.0,0
2016-07-07,55.4,45.0,68.9,34.8,0.0,0.0,0
2016-07-08,57.4,45.9,71.2,34.8,0.0,0.0,0
2016-07-09,58.8,48.4,72.0,34.8,0.0,0.0,0
2016-07-10,58.6,49.1,72.3,34.8,0.0,0.0,0
2016-07-11,53.8,43.2,67.5,34.8,0.0,0.0,0
2016-07-12,55.6,44.4,69.4,34.8,0.0,0.0,0
2016-07-13,50.9,,,34.8,0.0,0.0,0
2016-07-14,57.4,40.5,,34.8,0.0,0.0,0
2016-07-15,58.3,46.8,,34.8,0.0,0.0,0
2016-07-16,59.2,50.0,71.2,34.8,0.0,0.0,0
2016-07-17,59.2,49.1,73.8,34.8,0.0,0.0,0
2016-07-18,57.6,,72.0,34.8,0.1,0.0,0
2016-07-19,51.8,36.5,66.0,34.9,0.4,0.0,0
2016-07-20,52.7,,67.1,35.3,0.3,0.0,0
2016-07-21,55.4,44.1,69.1,35.6,0.0,0.0,0
2016-07-22,55.9,47.3,68.5,35.6,0.0,0.0,0
2016-07-23,58.3,46.8,74.8,35.6,0.0,0.0,0
2016-07-24,54.9,45.9,70.9,35.6,0.2,0.0,0
2016-07-25,56.8,,,35.8,0.0,0.0,0
2016-07-26,55.9,,68.9,35.8,0.0,0.0,0
2016-07-27,59.0,,73.6,35.8,0.0,0.0,0
2016-07-28,60.8,51.3,,35.8,0.0,0.0,0
2016-07-29,60.8,50.0,,35.8,0.0,0.0,0
2016-07-30,54.3,,68.7,35.8,0.1,0.0,0
2016-07-31,53.8,45.9,67.1,35.9,0.0,0.0,0
2016-08-01,55.6,47.1,71.4,35.9,0.0,0.0,0
2016-08-02,55.2,,,35.9,0.1,0.0,0
2016-08-03,53.2,46.8,69.1,36.0,0.1,0.0,0
2016-08-04,51.3,45.0,,36.1,0.1,0.0,0
2016-08-05,48.6,45.0,,36.2,1.4,0.0,0
2016-08-06,48.6,44.1,58.6,37.6,0.4,0.0,0
2016-08-07,52.2,44.6,67.1,38.0,0.1,0.0,0
2016-08-08,51.3,42.4,62.6,38.1,0.4,0.0,0
2016-08-09,53.2,46.2,65.8,38.5,0.1,0.0,0
2016-08-10,52.2,44.8,63.5,38.6,0.0,0.0,0
2016-08-11,52.5,44.4,,38.6,0.0,0.0,0
2016-08-12,52.5,,65.1,38.6,0.0,0.0,0
2016-08-13,51.8,,68.0,38.6,0.0,0.0,0
2016-08-14,52.0,40.3,67.3,38.6,0.0,0.0,0
2016-08-15,51.8,42.4,66.4,38.6,0.1,0.0,0
2016-08-16,50.7,43.2,64.2,38.7,0.0,0.0,0
2016-08-17,48.0,42.1,,38.7,0.0,0.0,0
2016-08-18,46.4,41.0,,38.7,0.1,0.0,0
2016-08-19,49.6,39.2,62.2,38.8,0.0,0.0,0
2016-08-20,52.5,41.9,66.6,38.8,0.0,0.0,0
2016-08-21,49.3,40.8,,38.8,0.0,0.0,0
2016-08-22,45.0,40.1,58.3,38.8,0.0,0.0,0
2016-08-23,40.6,34.3,53.8,38.8,1.4,0.0,0
2016-08-24,45.7,38.1,,40.2,0.0,0.0,0
2016-08-25,44.4,36.9,,40.2,0.2,0.0,0
2016-08-26,42.4,37.0,52.0,40.4,0.2,0.0,0
2016-08-27,42.1,36.5,,40.6,0.4,0.0,0
2016-08-28,43.9,35.8,59.2,41.0,0.1,0.0,0
2016-08-29,46.2,39.4,58.8,41.1,0.0,0.0,0
2016-08-30,47.7,39.0,60.4,41.1,0.1,0.0,0
2016-08-31,50.2,41.0,62.6,41.2,0.0,0.0,0
2016-09-01,51.3,43.7,64.8,41.2,0.2,0.0,0
2016-09-02,49.8,44.1,62.6,41.4,0.1,0.0,0
2016-09-03,48.0,44.2,57.6,41.5,0.3,0.0,0
2016-09-04,48.4,42.3,59.9,41.8,0.1,0.0,0
2016-09-05,49.8,39.4,62.6,41.9,0.0,0.0,0
2016-09-06,49.1,40.1,60.6,41.9,0.0,0.0,0
2016-09-07,49.8,41.0,63.1,41.9,0.0,0.0,0
2016-09-08,52.0,38.1,70.2,41.9,0.0,0.0,0
2016-09-09,51.6,,64.9,41.9,0.0,0.0,0
2016-09-10,50.7,41.9,65.1,41.9,0.0,0.0,0
2016-09-11,51.1,42.8,63.3,41.9,0.0,0.0,0
2016-09-12,43.7,36.9,59.0,41.9,0.1,0.0,0
2016-09-13,42.1,37.0,53.2,42.0,0.3,0.0,0
2016-09-14,43.0,,54.1,42.3,0.0,0.0,0
2016-09-15,42.8,34.3,57.0,42.3,0.0,0.0,0
2016-09-16,44.1,32.5,,42.3,0.0,0.0,0
2016-09-17,45.7,36.9,,42.3,0.1,0.0,0
2016-09-18,49.6,,67.5,42.4,0.0,0.0,0
2016-09-19,53.2,,,42.4,0.0,0.0,0
2016-09-20,47.3,40.1,60.1,42.4,0.0,0.0,0
2016-09-21,45.0,41.2,49.8,42.4,0.7,0.0,0
2016-09-22,46.6,43.0,54.0,43.1,0.3,0.0,0
2016-09-23,31.8,22.5,43.2,43.4,0.8,0.0,0
2016-09-24,30.9,,42.3,44.2,0.1,0.0,0
2016-09-25,40.3,27.1,57.4,44.3,0.0,0.0,0
2016-09-26,45.0,32.9,63.0,44.3,0.0,0.0,0
2016-09-27,47.5,37.4,61.5,44.3,0.0,0.0,0
2016-09-28,49.8,38.7,62.8,44.3,0.0,0.0,0
2016-09-29,41.7,38.5,46.2,44.3,0.2,0.0,0
2016-09-30,41.9,35.1,,44.5,0.1,0.0,0
