Date,South Colony (773) Air Temperature Average (degF),South Colony (773) Air Temperature Minimum (degF),South Colony (773) Air Temperature Maximum (degF),South Colony (773) Precipitation Accumulation (in) Start of Day Values,South Colony (773) Precipitation Increment (in),South Colony (773) Snow Water Equivalent (in) Start of Day Values,South Colony (773) Snow Depth (in) Start of Day Values
2016-01-01,2.8,-9.6,17.6,12.2,0.0,10.4,41
2016-01-02,2.5,-8.7,17.6,12.2,0.0,10.4,40
2016-01-03,7.5,1.8,16.2,12.2,0.1,10.4,40
2016-01-04,19.6,6.6,30.4,12.3,0.1,10.4,39
2016-01-05,22.5,14.4,27.9,12.4,0.0,10.5,39
2016-01-06,19.9,10.6,27.5,12.4,0.0,10.5,39
2016-01-07,14.9,0.7,21.4,12.4,0.0,10.6,39
2016-01-08,6.3,-6.9,16.7,12.4,0.2,10.6,39
2016-01-09,2.1,-8.1,17.1,12.6,0.0,10.9,44
2016-01-10,-4.5,-9.9,9.1,12.6,0.0,10.9,43
2016-01-11,5.0,-9.4,21.2,12.6,0.0,10.9,43
2016-01-12,15.6,-0.2,30.7,12.6,0.1,10.9,42
2016-01-13,25.9,9.5,36.3,12.7,0.0,10.9,41
2016-01-14,17.4,10.6,25.9,12.7,0.0,11.0,40
2016-01-15,14.0,3.7,19.0,12.7,0.0,11.0,41
2016-01-16,14.2,6.1,23.5,12.7,0.0,11.0,40
2016-01-17,18.7,13.6,28.0,12.7,0.1,11.0,40
2016-01-18,26.6,20.5,34.5,12.8,0.0,11.0,40
2016-01-19,21.4,17.1,29.3,12.8,0.0,11.0,39
2016-01-20,17.1,7.9,21.0,12.8,0.0,11.0,39
2016-01-21,8.4,-4.0,20.8,12.8,0.0,11.0,40
2016-01-22,23.9,10.6,38.1,12.8,0.1,11.0,40
2016-01-23,32.2,25.2,39.9,12.9,0.0,11.0,38
2016-01-24,20.5,11.1,28.8,12.9,0.0,11.1,38
2016-01-25,6.6,-9.9,18.3,12.9,0.1,11.1,38
2016-01-26,9.7,-10.5,27.9,13.0,0.0,11.2,41
2016-01-27,24.8,11.1,39.2,13.0,0.0,11.2,40
2016-01-28,24.3,9.9,39.0,13.0,0.0,11.2,40
2016-01-29,31.3,23.4,37.0,13.0,0.0,11.2,39
2016-01-30,30.4,24.4,34.7,13.0,0.0,11.2,39
2016-01-31,23.2,19.9,24.6,13.0,1.1,11.2,39
2016-02-01,14.5,6.6,22.1,14.1,1.3,12.2,46
2016-02-02,0.7,-9.8,8.1,15.4,0.0,13.6,57
2016-02-03,-5.6,-16.4,9.7,15.4,0.0,13.6,56
2016-02-04,14.5,4.6,29.1,15.4,0.0,13.6,54
2016-02-05,7.7,0.7,18.3,15.4,0.2,13.6,52
2016-02-06,20.8,2.5,41.0,15.6,0.0,13.6,53
2016-02-07,30.4,25.2,36.3,15.6,0.0,13.7,52
2016-02-08,30.0,14.9,39.2,15.6,0.0,13.7,51
2016-02-09,26.8,14.2,43.7,15.6,0.0,13.7,50
2016-02-10,33.8,21.9,44.4,15.6,0.0,13.7,50
2016-02-11,29.1,15.3,49.6,15.6,0.0,13.7,49
2016-02-12,37.0,21.0,46.8,15.6,0.0,13.7,48
2016-02-13,36.5,30.6,42.8,15.6,0.0,13.7,48
2016-02-14,28.2,24.6,34.7,15.6,0.0,13.6,48
2016-02-15,28.4,19.9,36.1,15.6,0.0,13.6,48
2016-02-16,32.7,22.1,38.5,15.6,0.0,13.6,48
2016-02-17,38.8,34.3,47.3,15.6,0.0,13.6,46
2016-02-18,35.1,27.7,43.9,15.6,0.0,13.6,46
2016-02-19,32.7,26.6,40.6,15.6,0.0,13.6,46
2016-02-20,34.5,30.4,42.3,15.6,0.0,13.5,46
2016-02-21,30.7,20.3,41.4,15.6,0.0,13.5,46
2016-02-22,21.7,14.2,30.4,15.6,0.7,13.5,45
2016-02-23,9.3,-6.5,19.8,16.3,0.0,14.2,60
2016-02-24,16.3,-5.4,34.0,16.3,0.4,14.6,59
2016-02-25,24.6,6.1,38.1,16.7,0.0,14.6,57
2016-02-26,28.8,9.3,42.4,16.7,0.0,14.6,55
2016-02-27,36.5,30.6,44.1,16.7,0.0,14.6,53
2016-02-28,32.2,23.4,42.1,16.7,0.0,14.6,51
2016-02-29,30.9,25.3,37.9,16.7,0.0,14.6,51
2016-03-01,30.4,23.5,41.9,16.7,0.0,14.6,50
2016-03-02,31.3,27.1,38.7,16.7,0.0,14.6,49
2016-03-03,35.2,26.8,44.1,16.7,0.0,14.5,49
2016-03-04,34.0,17.4,47.1,16.7,0.0,14.5,48
2016-03-05,32.4,15.3,42.6,16.7,0.0,14.5,48
2016-03-06,31.8,27.1,36.9,16.7,0.4,14.5,48
2016-03-07,22.5,17.1,28.2,17.1,0.0,14.8,49
2016-03-08,20.5,0.7,34.3,17.1,0.1,14.8,50
2016-03-09,23.0,8.1,34.0,17.2,0.0,14.9,49
2016-03-10,25.7,5.5,46.2,17.2,0.0,14.9,50
2016-03-11,38.8,25.9,51.3,17.2,0.0,14.8,49
2016-03-12,34.3,26.2,44.8,17.2,0.1,14.8,48
2016-03-13,30.0,13.8,42.6,17.3,0.1,14.9,49
2016-03-14,31.5,21.4,41.9,17.4,0.2,15.0,48
2016-03-15,19.6,11.5,27.1,17.6,0.0,15.1,49
2016-03-16,22.5,14.5,29.8,17.6,0.1,15.1,49
2016-03-17,29.5,20.5,40.5,17.7,0.0,15.2,50
2016-03-18,28.0,22.1,36.5,17.7,0.0,15.2,49
2016-03-19,21.2,8.6,36.3,17.7,0.0,15.2,49
2016-03-20,31.6,8.4,43.5,17.7,0.0,15.2,49
2016-03-21,39.0,31.8,48.2,17.7,0.0,15.1,48
2016-03-22,34.0,21.2,44.6,17.7,0.1,15.1,47
2016-03-23,16.5,5.0,25.2,17.8,0.2,15.2,47
2016-03-24,24.1,5.0,34.3,18.0,0.0,15.4,51
2016-03-25,23.4,12.4,33.3,18.0,0.1,15.4,48
2016-03-26,11.3,-2.9,18.7,18.1,0.4,15.5,49
2016-03-27,19.9,-4.7,33.1,18.5,0.3,16.0,56
2016-03-28,34.2,28.2,42.1,18.8,0.0,16.0,55
2016-03-29,28.8,14.2,40.5,18.8,0.0,16.0,53
2016-03-30,16.7,10.8,25.9,18.8,0.0,16.1,53
2016-03-31,14.5,-2.2,29.1,18.8,0.5,16.1,53
2016-04-01,12.7,-7.2,30.9,19.3,0.0,16.7,63
2016-04-02,25.0,2.5,41.0,19.3,0.1,16.7,60
2016-04-03,33.3,17.2,48.2,19.4,0.0,16.7,57
2016-04-04,35.6,15.8,49.5,19.4,0.0,16.7,55
2016-04-05,34.5,19.6,45.9,19.4,0.0,16.7,53
2016-04-06,35.8,19.2,50.4,19.4,0.0,16.7,52
2016-04-07,35.8,21.7,52.9,19.4,0.0,16.7,52
2016-04-08,35.6,24.8,47.1,19.4,0.1,16.7,51
2016-04-09,35.8,31.5,43.0,19.5,0.2,16.7,50
2016-04-10,36.9,27.5,49.1,19.7,0.1,16.8,49
2016-04-11,31.6,25.2,42.8,19.8,0.5,16.8,47
2016-04-12,31.3,22.3,47.3,20.3,0.1,17.3,53
2016-04-13,33.8,17.2,50.0,20.4,0.0,17.3,52
2016-04-14,39.4,27.3,49.1,20.4,0.0,17.2,51
2016-04-15,34.7,24.8,43.9,20.4,0.4,17.0,50
2016-04-16,19.8,15.1,25.2,20.8,1.0,17.2,50
2016-04-17,19.4,14.7,32.4,21.8,0.2,18.2,64
2016-04-18,21.6,16.9,31.8,22.0,1.0,18.5,62
2016-04-19,25.5,18.7,36.9,23.0,0.3,19.6,73
2016-04-20,29.1,17.4,40.3,23.3,0.0,20.0,67
2016-04-21,30.2,9.9,48.2,23.3,0.0,20.0,67
2016-04-22,40.8,18.3,54.7,23.3,0.1,19.8,62
2016-04-23,39.4,28.0,52.7,23.4,0.0,19.5,57
2016-04-24,36.0,27.7,47.7,23.4,0.0,19.4,54
2016-04-25,34.9,19.8,47.1,23.4,0.5,19.0,53
2016-04-26,24.1,18.3,35.2,23.9,0.1,19.2,56
2016-04-27,30.4,21.0,42.4,24.0,0.0,19.3,50
2016-04-28,27.3,22.1,36.0,24.0,1.7,19.3,52
2016-04-29,23.2,19.6,29.3,25.7,0.8,21.0,67
2016-04-30,24.6,15.8,39.2,26.5,0.3,21.9,71
2016-05-01,20.1,14.5,30.6,26.8,0.2,22.2,67
2016-05-02,29.3,13.8,42.3,27.0,0.0,22.4,69
2016-05-03,30.4,16.2,45.5,27.0,0.0,22.4,65
2016-05-04,37.8,18.9,55.2,27.0,0.0,22.1,62
2016-05-05,40.8,25.2,57.7,27.0,0.0,21.5,58
2016-05-06,44.8,32.9,59.4,27.0,0.0,20.9,55
2016-05-07,36.3,27.7,48.2,27.0,0.0,20.6,55
2016-05-08,32.2,27.9,41.7,27.0,0.2,20.4,53
2016-05-09,37.0,27.0,49.3,27.2,0.3,20.4,54
2016-05-10,39.4,30.0,51.8,27.5,0.4,20.4,53
2016-05-11,30.6,21.9,43.9,27.9,0.2,20.0,49
2016-05-12,38.5,19.9,52.0,28.1,0.0,20.1,49
2016-05-13,43.5,27.9,59.2,28.1,0.0,19.4,48
2016-05-14,42.4,27.5,58.8,28.1,0.1,18.4,47
2016-05-15,36.3,31.3,45.3,28.2,0.9,17.6,44
2016-05-16,34.0,28.8,47.3,29.1,0.5,17.7,45
2016-05-17,28.8,26.6,34.2,29.6,0.4,18.1,45
2016-05-18,32.4,26.8,41.0,30.0,0.1,18.5,48
2016-05-19,36.0,23.4,48.6,30.1,0.1,18.6,46
2016-05-20,45.3,36.0,55.4,30.2,0.0,18.4,43
2016-05-21,49.5,41.2,57.7,30.2,0.0,17.4,43
2016-05-22,44.2,29.3,54.7,30.2,0.0,15.9,38
2016-05-23,39.9,27.0,52.2,30.2,0.0,14.7,35
2016-05-24,42.3,29.8,54.1,30.2,0.0,13.9,33
2016-05-25,40.1,27.3,53.4,30.2,0.0,12.7,29
2016-05-26,34.5,27.1,48.2,30.2,0.2,11.4,25
2016-05-27,33.3,27.7,43.0,30.4,0.6,11.4,20
2016-05-28,38.1,26.8,50.4,31.0,0.0,11.8,24
2016-05-29,40.1,28.2,56.8,31.0,0.0,11.1,25
2016-05-30,41.2,28.0,58.3,31.0,0.0,10.0,21
2016-05-31,40.8,27.0,57.4,31.0,0.1,8.5,19
2016-06-01,39.9,30.6,55.0,31.1,0.1,6.6,11
2016-06-02,41.9,29.7,59.5,31.2,0.0,5.1,9
2016-06-03,44.1,30.4,61.2,31.2,0.0,3.3,5
2016-06-04,44.6,31.3,61.3,31.2,0.0,2.2,4
2016-06-05,45.5,34.0,65.1,31.2,0.1,1.1,3
2016-06-06,45.0,32.4,64.9,31.3,0.0,0.8,2
2016-06-07,49.8,32.4,66.0,31.3,0.0,0.5,1
2016-06-08,46.6,32.7,65.5,31.3,0.0,0.3,1
2016-06-09,49.6,35.2,65.7,31.3,0.0,0.0,0
2016-06-10,47.5,33.3,68.7,31.3,0.0,0.0,0
2016-06-11,53.1,33.3,67.8,31.3,0.0,0.0,0
2016-06-12,51.8,36.7,67.1,31.3,0.0,0.0,0
2016-06-13,48.6,35.2,62.8,31.3,0.0,0.0,0
2016-06-14,48.4,39.2,61.0,31.3,0.0,0.0,0
2016-06-15,48.2,,66.2,31.3,0.0,0.0,0
2016-06-16,55.6,40.8,65.8,31.3,0.0,0.0,0
2016-06-17,52.2,,70.9,31.3,0.0,0.0,0
2016-06-18,54.0,34.3,72.5,31.3,0.0,0.0,0
2016-06-19,59.5,42.1,76.8,31.3,0.0,0.0,0
2016-06-20,57.0,,76.3,31.3,0.0,0.0,0
2016-06-21,62.6,45.9,77.2,31.3,0.0,0.0,0
2016-06-22,52.9,40.6,73.2,31.3,0.1,0.0,0
2016-06-23,55.4,39.4,66.9,31.4,0.0,0.0,0
2016-06-24,56.8,36.7,67.3,31.4,0.0,0.0,0
2016-06-25,55.4,40.5,69.1,31.4,0.0,0.0,0
2016-06-26,52.5,37.0,,31.4,0.1,0.0,0
2016-06-27,48.4,37.4,66.9,31.5,0.2,0.0,0
2016-06-28,50.2,39.6,67.3,31.7,0.2,0.0,0
2016-06-29,49.8,,,31.9,0.2,0.0,0
2016-06-30,50.9,38.5,,32.1,0.2,0.0,0
2016-07-01,47.1,41.4,57.9,32.3,0.4,0.0,0
2016-07-02,47.7,42.6,59.0,32.7,0.4,0.0,0
2016-07-03,45.9,37.2,63.0,33.1,0.4,0.0,0
2016-07-04,49.6,,66.0,33.5,0.0,0.0,0
2016-07-05,57.9,40.3,68.7,33.5,0.0,0.0,0
2016-07-06,57.2,43.2,67.1,33.5,0.0,0.0,0
2016-07-07,57.6,41.7,,33.5,0.1,0.0,0
2016-07-08,53.6,,69.6,33.6,0.0,0.0,0
2016-07-09,57.0,39.0,70.9,33.6,0.0,0.0,0
2016-07-10,60.8,49.8,70.7,33.6,0.0,0.0,0
2016-07-11,56.1,37.8,67.8,33.6,0.0,0.0,0
2016-07-12,55.6,36.9,,33.6,0.0,0.0,0
2016-07-13,58.5,38.1,,33.6,0.0,0.0,0
2016-07-14,55.4,36.5,73.0,33.6,0.0,0.0,0
2016-07-15,55.4,40.1,,33.6,0.0,0.0,0
2016-07-16,55.8,37.4,,33.6,0.0,0.0,0
2016-07-17,57.2,,,33.6,0.0,0.0,0
2016-07-18,55.0,41.2,75.6,33.6,0.2,0.0,0
2016-07-19,57.6,41.2,70.5,33.8,0.0,0.0,0
2016-07-20,59.0,,,33.8,0.1,0.0,0
2016-07-21,57.9,45.5,,33.9,0.2,0.0,0
2016-07-22,56.7,43.7,,34.1,0.0,0.0,0
2016-07-23,55.0,,71.2,34.1,0.1,0.0,0
2016-07-24,54.9,42.8,70.0,34.2,0.0,0.0,0
2016-07-25,55.4,39.6,,34.2,0.0,0.0,0
2016-07-26,53.2,39.9,71.6,34.2,0.0,0.0,0
2016-07-27,53.6,38.3,72.0,34.2,0.0,0.0,0
2016-07-28,58.5,36.5,72.7,34.2,0.0,0.0,0
2016-07-29,56.8,42.8,71.1,34.2,0.0,0.0,0
2016-07-30,57.6,41.9,,34.2,0.0,0.0,0
2016-07-31,58.5,50.2,,34.2,0.0,0.0,0
2016-08-01,55.0,41.4,68.9,34.2,0.0,0.0,0
2016-08-02,53.8,37.8,,34.2,0.0,0.0,0
2016-08-03,54.3,42.6,72.9,34.2,0.3,0.0,0
2016-08-04,49.1,43.7,57.0,34.5,0.9,0.0,0
2016-08-05,48.4,45.5,51.3,35.4,0.7,0.0,0
2016-08-06,49.8,43.5,62.1,36.1,0.1,0.0,0
2016-08-07,52.9,44.2,64.4,36.2,0.6,0.0,0
2016-08-08,53.8,39.4,,36.8,0.0,0.0,0
2016-08-09,53.1,38.5,70.0,36.8,0.0,0.0,0
2016-08-10,52.0,37.2,,36.8,0.0,0.0,0
2016-08-11,54.9,,,36.8,0.0,0.0,0
2016-08-12,50.2,,,36.8,0.0,0.0,0
2016-08-13,46.6,35.8,,36.8,0.0,0.0,0
2016-08-14,50.0,34.5,,36.8,0.0,0.0,0
2016-08-15,49.5,34.3,67.6,36.8,0.1,0.0,0
2016-08-16,43.7,,64.0,36.9,0.8,0.0,0
2016-08-17,47.1,36.1,61.9,37.7,0.4,0.0,0
2016-08-18,46.2,38.5,61.0,38.1,0.3,0.0,0
2016-08-19,46.4,35.2,60.1,38.4,0.0,0.0,0
2016-08-20,47.7,35.8,63.1,38.4,0.1,0.0,0
2016-08-21,51.1,38.1,63.3,38.5,0.0,0.0,0
2016-08-22,44.1,33.1,,38.5,1.7,0.0,0
2016-08-23,44.6,35.1,58.5,40.2,0.5,0.0,0
2016-08-24,38.8,31.6,46.0,40.7,0.3,0.0,0
2016-08-25,40.3,31.3,55.0,41.0,0.0,0.0,0
2016-08-26,43.5,36.3,55.4,41.0,0.0,0.0,0
2016-08-27,45.7,34.3,58.3,41.0,0.0,0.0,0
2016-08-28,46.2,36.5,60.6,41.0,0.7,0.0,0
2016-08-29,41.0,34.2,51.6,41.7,0.5,0.0,0
2016-08-30,41.7,32.2,52.9,42.2,0.0,0.0,0
2016-08-31,45.9,33.1,60.6,42.2,0.0,0.0,0
2016-09-01,49.1,39.4,65.5,42.2,0.0,0.0,0
2016-09-02,50.2,42.3,59.2,42.2,0.0,0.0,0
2016-09-03,51.1,39.6,61.2,42.2,0.2,0.0,0
2016-09-04,50.2,41.9,54.1,42.4,0.2,0.0,0
2016-09-05,53.1,40.8,63.1,42.6,0.0,0.0,0
2016-09-06,53.6,44.6,62.8,42.6,0.0,0.0,0
2016-09-07,49.8,38.3,61.3,42.6,0.0,0.0,0
2016-09-08,50.0,34.0,64.8,42.6,0.1,0.0,0
2016-09-09,50.2,32.5,64.2,42.7,0.0,0.0,0
2016-09-10,49.3,29.7,,42.7,0.0,0.0,0
2016-09-11,52.9,44.4,63.1,42.7,0.0,0.0,0
2016-09-12,48.4,38.3,67.8,42.7,0.0,0.0,0
2016-09-13,44.2,33.8,66.4,42.7,0.0,0.0,0
2016-09-14,42.1,38.1,48.2,42.7,0.3,0.0,0
2016-09-15,44.6,28.4,56.1,43.0,0.0,0.0,0
2016-09-16,40.6,26.6,55.9,43.0,0.0,0.0,0
2016-09-17,43.7,28.0,56.7,43.0,0.0,0.0,0
2016-09-18,52.0,35.6,72.0,43.0,0.0,0.0,0
2016-09-19,51.1,,67.3,43.0,0.0,0.0,0
2016-09-20,50.9,35.1,62.2,43.0,0.0,0.0,0
2016-09-21,46.4,41.2,51.1,43.0,0.2,0.0,0
2016-09-22,51.4,46.0,59.5,43.2,0.0,0.0,0
2016-09-23,40.6,26.6,54.9,43.2,0.3,0.0,0
2016-09-24,34.3,25.7,45.3,43.5,0.0,0.5,2
2016-09-25,34.9,25.0,49.6,43.5,0.0,0.4,1
2016-09-26,38.7,25.3,57.4,43.5,0.0,0.0,0
2016-09-27,41.9,28.4,65.5,43.5,0.0,0.0,0
2016-09-28,42.1,29.1,60.6,43.5,0.0,0.0,0
2016-09-29,46.6,32.5,58.8,43.5,0.0,0.0,0
2016-09-30,46.0,30.6,57.4,43.5,0.0,0.0,0
