Date,Wolf Creek Summit (874) Air Temperature Average (degF),Wolf Creek Summit (874) Air Temperature Minimum (degF),Wolf Creek Summit (874) Air Temperature Maximum (degF),Wolf Creek Summit (874) Precipitation Accumulation (in) Start of Day Values,Wolf Creek Summit (874) Precipitation Increment (in),Wolf Creek Summit (874) Snow Water Equivalent (in) Start of Day Values,Wolf Creek Summit (874) Snow Depth (in) Start of Day Values
2015-11-02,37.2,29.7,46.2,3.2,0.0,1.9,8
2015-11-03,36.0,29.5,43.9,3.2,0.0,1.9,7
2015-11-04,24.3,16.5,33.3,3.2,1.6,1.9,7
2015-11-05,18.3,13.6,23.7,4.8,0.2,4.0,19
2015-11-06,18.3,15.1,27.0,5.0,0.0,4.1,19
2015-11-07,20.8,11.7,32.5,5.0,0.0,4.1,19
2015-11-08,23.2,15.1,34.5,5.0,0.0,4.1,18
2015-11-09,27.1,18.3,36.7,5.0,0.3,4.1,18
2015-11-10,24.6,13.3,34.0,5.3,0.0,4.1,18
2015-11-11,16.3,13.1,23.2,5.3,0.1,4.5,21
2015-11-12,21.6,13.3,31.6,5.4,0.1,4.6,23
2015-11-13,28.8,20.3,41.7,5.5,0.0,4.6,22
2015-11-14,30.9,22.1,42.8,5.5,0.1,4.6,21
2015-11-15,27.5,23.2,34.3,5.6,0.3,4.6,19
2015-11-16,21.0,14.9,28.4,5.9,1.3,5.0,22
2015-11-17,19.2,14.2,24.3,7.2,0.1,6.6,32
2015-11-18,21.0,15.1,32.9,7.3,0.1,6.7,30
2015-11-19,23.7,15.1,34.7,7.4,0.0,6.7,29
2015-11-20,23.9,12.9,34.5,7.4,0.0,6.7,29
2015-11-21,22.6,13.5,33.8,7.4,0.0,6.6,28
2015-11-22,29.8,20.5,42.6,7.4,0.1,6.6,26
2015-11-23,29.7,24.4,40.5,7.5,0.0,6.6,23
2015-11-24,27.5,23.0,34.7,7.5,0.0,6.6,25
2015-11-25,27.5,21.2,33.3,7.5,0.2,6.6,26
2015-11-26,23.9,21.9,25.9,7.7,0.3,6.7,22
2015-11-27,23.4,19.0,28.0,8.0,0.4,7.3,30
2015-11-28,17.6,13.3,23.4,8.4,0.3,7.9,31
2015-11-29,15.3,9.1,,8.7,0.2,8.2,34
2015-11-30,6.4,0.1,12.6,8.9,0.0,8.6,40
2015-12-01,12.4,0.7,23.0,8.9,0.3,8.7,38
2015-12-02,22.1,14.4,32.0,9.2,0.1,8.7,38
2015-12-03,26.2,19.8,36.3,9.3,0.0,8.9,36
2015-12-04,27.7,22.1,36.3,9.3,0.0,8.9,35
2015-12-05,21.4,14.4,30.0,9.3,0.0,8.9,34
2015-12-06,28.2,19.9,40.3,9.3,0.1,9.0,35
2015-12-07,28.8,23.4,40.8,9.4,0.1,9.0,31
2015-12-08,31.5,23.0,42.6,9.5,0.0,9.0,32
2015-12-09,32.2,24.4,42.4,9.5,0.0,9.0,30
2015-12-10,29.8,23.7,38.3,9.5,0.1,9.0,31
2015-12-11,25.5,22.3,27.7,9.6,0.0,9.0,27
2015-12-12,22.6,18.3,25.5,9.6,0.9,9.3,33
2015-12-13,21.0,14.4,33.3,10.5,0.1,10.4,44
2015-12-14,14.5,6.6,19.8,10.6,1.0,10.4,42
2015-12-15,5.4,-0.4,10.4,11.6,0.2,11.7,56
2015-12-16,,-1.1,12.0,11.8,0.0,12.0,55
2015-12-17,3.6,-2.6,11.5,11.8,0.1,12.0,53
2015-12-18,20.5,7.7,28.0,11.9,0.3,12.0,50
2015-12-19,27.1,20.8,33.8,12.2,0.1,12.0,48
2015-12-20,18.3,13.6,26.8,12.3,0.4,12.0,46
2015-12-21,15.8,13.1,19.8,12.7,0.3,12.8,52
2015-12-22,17.2,15.6,20.8,13.0,0.5,13.3,58
2015-12-23,12.7,0.7,17.8,13.5,0.2,13.9,62
2015-12-24,6.6,-1.5,16.5,13.7,0.9,14.2,66
2015-12-25,11.1,1.2,18.3,14.6,1.4,15.2,71
2015-12-26,3.4,-4.2,10.9,16.0,0.1,17.6,79
2015-12-27,13.3,3.7,24.3,16.1,0.2,17.6,79
2015-12-28,13.3,9.0,20.8,16.3,0.0,17.6,79
2015-12-29,9.3,3.7,15.1,16.3,0.0,17.6,77
2015-12-30,6.8,1.4,12.9,16.3,0.1,17.7,78
2015-12-31,6.3,0.0,18.7,16.4,0.0,17.9,76
2016-01-01,10.4,2.3,21.6,16.4,0.1,18.0,76
2016-01-02,21.2,10.0,33.3,16.5,0.2,18.1,76
2016-01-03,25.3,19.9,36.5,16.7,0.1,18.1,73
2016-01-04,22.1,15.8,31.8,16.8,0.0,18.1,70
2016-01-05,19.0,15.1,21.9,16.8,0.1,18.2,70
2016-01-06,19.9,16.7,,16.9,0.1,18.5,71
2016-01-07,15.3,10.0,21.6,17.0,0.0,18.8,70
2016-01-08,12.6,7.2,19.6,17.0,0.2,19.0,72
2016-01-09,8.8,2.7,19.9,17.2,0.1,19.3,74
2016-01-10,5.5,-2.0,15.4,17.3,0.0,19.3,75
2016-01-11,16.9,4.6,28.4,17.3,0.1,19.4,75
2016-01-12,24.1,16.3,36.1,17.4,0.0,19.4,75
2016-01-13,23.9,16.0,36.9,17.4,0.0,19.4,73
2016-01-14,14.2,7.2,21.4,17.4,0.0,19.4,70
2016-01-15,9.3,2.5,15.8,17.4,0.0,19.4,70
2016-01-16,8.1,1.0,19.6,17.4,0.0,19.4,67
2016-01-17,15.3,7.5,27.1,17.4,0.0,19.5,71
2016-01-18,20.8,13.6,28.8,17.4,0.1,19.5,70
2016-01-19,18.9,13.8,,17.5,0.0,19.6,71
2016-01-20,15.3,5.7,23.2,17.5,0.1,19.7,67
2016-01-21,18.9,7.9,33.1,17.6,0.2,20.1,70
2016-01-22,28.8,22.6,41.4,17.8,0.1,20.1,71
2016-01-23,27.1,21.0,39.4,17.9,0.0,20.1,70
2016-01-24,17.6,7.9,28.0,17.9,0.0,20.2,69
2016-01-25,8.8,2.5,20.1,17.9,0.0,20.6,73
2016-01-26,13.6,2.1,24.4,17.9,0.1,20.6,74
2016-01-27,29.7,17.1,42.1,18.0,0.2,20.6,72
2016-01-28,29.7,21.0,43.5,18.2,0.0,20.6,70
2016-01-29,24.6,15.6,38.7,18.2,0.0,20.7,70
2016-01-30,24.6,19.2,,18.2,0.2,20.7,69
2016-01-31,23.0,22.5,,18.4,1.9,21.0,59
2016-02-01,12.2,4.5,22.6,20.3,1.2,22.9,78
2016-02-02,5.2,-1.7,,21.5,0.0,24.2,89
2016-02-03,-1.5,-7.8,10.2,21.5,0.0,24.3,86
2016-02-04,4.6,-6.2,20.5,21.5,0.0,24.3,84
2016-02-05,10.2,0.9,20.7,21.5,0.1,24.3,83
2016-02-06,24.4,,37.9,21.6,0.2,24.3,81
2016-02-07,28.8,19.4,41.0,21.8,0.0,24.3,80
2016-02-08,30.9,21.4,42.4,21.8,0.0,24.3,79
2016-02-09,34.0,23.7,47.1,21.8,0.1,24.3,78
2016-02-10,34.5,26.2,47.7,21.9,0.0,24.3,77
2016-02-11,34.9,24.8,47.7,21.9,0.0,24.3,76
2016-02-12,36.7,28.8,49.6,21.9,0.0,24.3,75
2016-02-13,32.5,25.5,43.5,21.9,0.0,24.3,74
2016-02-14,28.4,20.5,37.4,21.9,0.0,24.3,73
2016-02-15,28.4,21.4,41.0,21.9,0.0,24.3,73
2016-02-16,31.3,23.9,46.8,21.9,0.0,24.3,73
2016-02-17,35.1,27.3,45.3,21.9,0.0,24.3,73
2016-02-18,31.6,28.4,,21.9,0.0,24.3,72
2016-02-19,29.7,24.1,37.4,21.9,0.0,24.3,72
2016-02-20,32.5,25.2,42.4,21.9,0.0,24.3,71
2016-02-21,30.4,21.9,42.1,21.9,0.0,24.3,69
2016-02-22,21.9,16.7,30.4,21.9,0.0,24.3,69
2016-02-23,14.2,6.8,21.2,21.9,0.0,24.3,68
2016-02-24,19.0,5.7,33.1,21.9,0.1,24.6,70
2016-02-25,28.8,20.1,42.3,22.0,0.0,24.6,70
2016-02-26,31.6,20.3,,22.0,0.0,24.6,70
2016-02-27,30.6,22.5,,22.0,0.0,24.6,69
2016-02-28,33.1,25.2,53.6,22.0,0.0,24.6,69
2016-02-29,30.2,22.1,43.2,22.0,0.0,24.6,68
2016-03-01,30.7,21.0,,22.0,0.0,24.6,68
2016-03-02,30.7,21.9,43.0,22.0,0.0,24.6,67
2016-03-03,34.7,23.2,49.1,22.0,0.0,24.6,67
2016-03-04,35.2,28.8,,22.0,0.0,24.7,66
2016-03-05,34.3,28.8,46.8,22.0,0.1,24.7,65
2016-03-06,28.0,23.7,39.2,22.1,0.1,24.8,65
2016-03-07,18.0,12.4,32.2,22.2,0.3,25.2,68
2016-03-08,22.1,9.9,36.5,22.5,0.0,25.4,71
2016-03-09,23.5,7.7,38.1,22.5,0.0,25.4,71
2016-03-10,33.4,17.6,,22.5,0.1,25.4,70
2016-03-11,37.9,25.9,49.8,22.6,0.0,25.4,68
2016-03-12,28.8,19.9,41.9,22.6,0.0,25.4,67
2016-03-13,28.8,19.9,,22.6,0.0,25.4,67
2016-03-14,28.8,22.6,38.5,22.6,0.0,25.4,67
2016-03-15,23.0,15.3,34.2,22.6,0.0,25.4,67
2016-03-16,23.5,13.1,,22.6,0.0,25.1,67
2016-03-17,27.0,15.3,40.5,22.6,0.0,24.9,67
2016-03-18,30.4,19.6,45.9,22.6,0.0,24.8,66
2016-03-19,28.8,19.6,43.5,22.6,0.0,24.5,66
2016-03-20,31.6,17.8,45.0,22.6,0.0,24.3,66
2016-03-21,36.7,27.1,,22.6,0.1,24.0,64
2016-03-22,30.7,15.1,40.1,22.7,0.0,24.0,64
2016-03-23,18.3,12.0,,22.7,0.0,24.0,63
2016-03-24,23.5,10.4,36.7,22.7,0.0,24.0,64
2016-03-25,23.2,16.0,33.8,22.7,0.0,24.0,64
2016-03-26,16.0,8.8,,22.7,0.6,24.0,64
2016-03-27,22.3,5.0,37.9,23.3,0.3,24.9,75
2016-03-28,30.0,23.2,41.2,23.6,0.2,25.2,71
2016-03-29,22.5,13.1,34.7,23.8,0.7,25.4,76
2016-03-30,15.3,,29.8,24.5,0.3,26.1,79
2016-03-31,18.0,7.7,33.4,24.8,0.3,26.4,80
2016-04-01,21.7,9.7,40.3,25.1,0.0,26.5,81
2016-04-02,28.8,16.2,,25.1,0.2,26.4,78
2016-04-03,35.1,,50.0,25.3,0.0,26.2,76
2016-04-04,38.8,,52.0,25.3,0.1,25.3,73
2016-04-05,33.1,18.3,52.5,25.4,0.0,25.0,71
2016-04-06,35.8,18.0,51.6,25.4,0.0,24.8,70
2016-04-07,43.2,30.9,55.6,25.4,0.0,24.5,68
2016-04-08,36.0,30.4,44.6,25.4,0.0,24.5,66
2016-04-09,32.5,29.7,46.2,25.4,0.4,24.5,64
2016-04-10,34.3,25.3,45.7,25.8,0.1,24.9,68
2016-04-11,31.3,24.3,46.2,25.9,0.0,25.0,66
2016-04-12,31.8,27.1,41.4,25.9,0.1,25.0,66
2016-04-13,37.0,26.4,51.3,26.0,0.1,25.1,66
2016-04-14,39.6,34.3,48.9,26.1,0.0,25.2,65
2016-04-15,30.4,23.0,41.7,26.1,0.4,25.2,64
2016-04-16,22.1,13.6,30.7,26.5,0.7,25.6,68
2016-04-17,20.5,12.9,31.3,27.2,0.9,26.3,74
2016-04-18,23.5,18.9,37.8,28.1,0.5,27.2,78
2016-04-19,24.6,15.8,38.7,28.6,0.0,27.6,80
2016-04-20,31.8,20.8,45.3,28.6,0.0,27.6,79
2016-04-21,38.8,27.0,,28.6,0.1,27.6,76
2016-04-22,43.0,33.3,55.2,28.7,0.0,27.6,72
2016-04-23,37.2,27.5,49.3,28.7,0.0,27.6,69
2016-04-24,34.3,21.7,46.8,28.7,0.0,27.6,69
2016-04-25,30.2,17.8,44.2,28.7,0.0,27.6,69
2016-04-26,21.6,16.7,29.1,28.7,0.1,27.6,69
2016-04-27,27.0,16.7,39.4,28.8,0.2,27.7,70
2016-04-28,29.8,22.6,41.9,29.0,0.5,27.9,71
2016-04-29,25.2,21.2,34.5,29.5,0.3,28.3,71
2016-04-30,27.7,20.8,40.6,29.8,0.2,28.7,74
2016-05-01,23.9,18.3,32.0,30.0,0.8,28.7,72
2016-05-02,30.2,22.3,45.0,30.8,0.3,29.8,82
2016-05-03,38.3,24.4,53.6,31.1,0.3,30.1,78
2016-05-04,43.9,31.5,56.8,31.4,0.0,30.0,75
2016-05-05,46.4,35.8,61.2,31.4,0.0,30.0,71
2016-05-06,45.0,34.9,55.4,31.4,0.0,29.5,69
2016-05-07,30.9,26.2,39.0,31.4,0.0,29.0,67
2016-05-08,29.1,24.1,39.2,31.4,0.1,28.8,68
2016-05-09,34.5,27.1,43.5,31.5,0.3,29.0,69
2016-05-10,36.1,30.9,47.5,31.8,0.3,29.4,68
2016-05-11,32.0,24.1,41.0,32.1,0.3,29.7,69
2016-05-12,40.6,25.3,55.0,32.4,0.2,29.8,70
2016-05-13,47.3,34.3,59.2,32.6,0.0,29.6,68
2016-05-14,48.0,38.8,59.7,32.6,0.1,29.2,65
2016-05-15,39.9,33.1,47.5,32.7,0.1,28.3,62
2016-05-16,33.4,27.3,46.4,32.8,0.2,27.8,61
2016-05-17,33.3,25.9,47.1,33.0,0.3,27.8,62
2016-05-18,32.9,28.8,39.9,33.3,0.4,27.8,63
2016-05-19,37.0,29.3,50.9,33.7,0.1,28.2,63
2016-05-20,43.2,33.4,53.1,33.8,0.0,28.1,61
2016-05-21,46.4,38.5,54.9,33.8,0.0,27.4,59
2016-05-22,41.2,35.1,50.7,33.8,0.0,26.0,56
2016-05-23,40.5,30.6,48.6,33.8,0.0,25.0,53
2016-05-24,41.4,33.4,50.7,33.8,0.0,24.0,50
2016-05-25,40.1,31.6,49.5,33.8,0.0,23.1,49
2016-05-26,34.0,27.5,46.4,33.8,0.1,22.0,46
2016-05-27,34.3,27.1,48.4,33.9,0.2,22.2,47
2016-05-28,40.3,30.7,50.9,34.1,0.1,22.1,45
2016-05-29,45.9,36.0,57.4,34.2,0.0,21.8,43
2016-05-30,46.6,38.3,56.8,34.2,0.0,21.6,41
2016-05-31,47.5,37.4,59.4,34.2,0.0,21.0,41
2016-06-01,45.3,35.8,56.1,34.2,0.1,19.8,40
2016-06-02,50.7,37.0,62.6,34.3,0.0,19.0,38
2016-06-03,53.4,44.4,63.5,34.3,0.0,17.9,36
2016-06-04,52.2,44.4,67.3,34.3,0.0,17.0,35
2016-06-05,53.2,45.7,63.7,34.3,0.0,16.0,33
2016-06-06,50.7,43.9,65.1,34.3,0.0,14.7,32
2016-06-07,54.3,44.4,63.7,34.3,0.0,13.9,29
2016-06-08,51.3,44.6,62.6,34.3,0.0,12.5,26
2016-06-09,54.0,45.7,66.9,34.3,0.1,11.5,20
2016-06-10,55.4,45.7,69.8,34.4,0.0,10.3,18
2016-06-11,54.1,46.6,63.9,34.4,0.0,8.9,16
2016-06-12,53.8,44.6,62.6,34.4,0.0,7.0,14
2016-06-13,49.6,41.2,60.6,34.4,0.0,4.9,10
2016-06-14,48.9,37.9,60.4,34.4,0.1,3.8,7
2016-06-15,54.3,46.0,62.8,34.5,0.1,2.6,5
2016-06-16,52.5,44.1,61.5,34.6,0.0,1.7,3
2016-06-17,56.5,45.3,66.4,34.6,0.1,1.2,2
2016-06-18,61.3,47.5,73.6,34.7,0.1,1.0,2
2016-06-19,64.4,51.8,,34.8,0.0,0.7,1
2016-06-20,63.5,52.0,80.2,34.8,0.0,0.3,1
2016-06-21,59.7,51.6,75.2,34.8,0.0,0.0,0
2016-06-22,57.4,49.8,72.7,34.8,0.0,0.0,0
2016-06-23,58.6,47.3,71.1,34.8,0.0,0.0,0
2016-06-24,56.1,47.7,70.7,34.8,0.0,0.0,0
2016-06-25,57.0,51.3,69.8,34.8,0.0,0.0,0
2016-06-26,55.6,43.2,67.8,34.8,0.0,0.0,0
2016-06-27,59.7,48.0,73.9,34.8,0.0,0.0,0
2016-06-28,53.1,43.5,65.7,34.8,0.0,0.0,0
2016-06-29,53.1,46.4,66.0,34.8,0.0,0.0,0
2016-06-30,51.6,44.8,65.7,34.8,0.0,0.0,0
2016-07-01,46.8,43.5,56.8,34.8,0.1,0.0,0
2016-07-02,46.8,42.8,54.1,34.9,0.1,0.0,0
2016-07-03,48.2,42.4,60.6,35.0,0.2,0.0,0
2016-07-04,52.2,45.0,64.0,35.2,0.3,0.0,0
2016-07-05,57.0,47.5,65.7,35.5,0.0,0.0,0
2016-07-06,57.2,47.3,66.6,35.5,0.0,0.0,0
2016-07-07,57.0,45.3,70.5,35.5,0.0,0.0,0
2016-07-08,59.2,48.9,68.7,35.5,0.0,0.0,0
2016-07-09,60.6,50.4,73.8,35.5,0.0,0.0,0
2016-07-10,59.5,53.4,68.2,35.5,0.0,0.0,0
2016-07-11,55.9,48.0,70.3,35.5,0.0,0.0,0
2016-07-12,57.2,46.6,71.4,35.5,0.0,0.0,0
2016-07-13,59.4,49.3,74.5,35.5,0.0,0.0,0
2016-07-14,61.0,51.1,75.2,35.5,0.0,0.0,0
2016-07-15,59.5,47.5,69.4,35.5,0.0,0.0,0
2016-07-16,60.4,51.3,73.4,35.5,0.0,0.0,0
2016-07-17,59.9,49.5,70.3,35.5,0.0,0.0,0
2016-07-18,57.9,47.1,71.8,35.5,0.0,0.0,0
2016-07-19,55.4,45.7,69.4,35.5,0.2,0.0,0
2016-07-20,55.4,44.6,67.6,35.7,0.2,0.0,0
2016-07-21,58.8,49.5,73.9,35.9,0.0,0.0,0
2016-07-22,59.0,49.3,70.0,35.9,0.0,0.0,0
2016-07-23,,49.5,72.9,35.9,0.0,0.0,0
2016-07-24,58.5,50.0,69.4,35.9,0.0,0.0,0
2016-07-25,61.0,,74.3,35.9,0.0,0.0,0
2016-07-26,52.5,46.8,64.8,35.9,0.0,0.0,0
2016-07-27,61.5,48.2,72.7,35.9,0.0,0.0,0
2016-07-28,60.6,51.8,72.0,35.9,0.0,0.0,0
2016-07-29,61.3,52.2,73.8,35.9,0.0,0.0,0
2016-07-30,55.6,47.5,68.5,35.9,0.0,0.0,0
2016-07-31,54.1,44.4,67.3,35.9,0.2,0.0,0
2016-08-01,53.1,45.9,66.4,36.1,0.3,0.0,0
2016-08-02,55.9,48.9,69.4,36.4,0.0,0.0,0
2016-08-03,52.5,43.9,67.5,36.4,0.9,0.0,0
2016-08-04,50.4,45.7,60.4,37.3,0.7,0.0,0
2016-08-05,48.6,45.9,57.2,38.0,1.2,0.0,0
2016-08-06,49.6,44.8,58.8,39.2,0.2,0.0,0
2016-08-07,54.3,46.0,65.5,39.4,0.0,0.0,0
2016-08-08,52.5,44.6,64.8,39.4,0.2,0.0,0
2016-08-09,55.6,46.0,66.6,39.6,0.0,0.0,0
2016-08-10,54.1,46.2,64.2,39.6,0.0,0.0,0
2016-08-11,52.9,43.2,65.5,39.6,0.0,0.0,0
2016-08-12,54.9,47.1,67.3,39.6,0.0,0.0,0
2016-08-13,50.4,38.8,61.9,39.6,0.1,0.0,0
2016-08-14,51.1,40.6,64.4,39.7,0.0,0.0,0
2016-08-15,52.9,43.7,66.6,39.7,0.0,0.0,0
2016-08-16,50.2,42.3,63.5,39.7,0.1,0.0,0
2016-08-17,48.2,41.9,60.8,39.8,0.1,0.0,0
2016-08-18,47.7,41.9,57.9,39.9,0.1,0.0,0
2016-08-19,48.2,41.2,59.5,40.0,0.0,0.0,0
2016-08-20,49.6,42.8,61.7,40.0,0.0,0.0,0
2016-08-21,49.3,42.6,64.4,40.0,0.1,0.0,0
2016-08-22,45.5,40.3,57.0,40.1,0.0,0.0,0
2016-08-23,42.6,38.3,58.5,40.1,0.5,0.0,0
2016-08-24,44.2,37.9,57.2,40.6,0.0,0.0,0
2016-08-25,43.0,37.0,56.1,40.6,0.1,0.0,0
2016-08-26,43.2,38.7,50.9,40.7,0.1,0.0,0
2016-08-27,44.4,37.9,56.7,40.8,0.0,0.0,0
2016-08-28,45.0,36.7,58.6,40.8,0.3,0.0,0
2016-08-29,43.0,38.1,56.5,41.1,0.0,0.0,0
2016-08-30,46.6,39.4,58.8,41.1,0.2,0.0,0
2016-08-31,49.6,41.7,62.2,41.3,0.2,0.0,0
2016-09-01,50.7,44.8,62.8,41.5,0.0,0.0,0
2016-09-02,49.3,41.7,62.8,41.5,0.2,0.0,0
2016-09-03,49.3,40.8,58.6,41.7,0.2,0.0,0
2016-09-04,49.8,44.2,59.2,41.9,0.0,0.0,0
2016-09-05,52.5,43.9,61.2,41.9,0.1,0.0,0
2016-09-06,51.4,42.4,61.2,42.0,0.0,0.0,0
2016-09-07,49.5,42.8,58.5,42.0,0.0,0.0,0
2016-09-08,53.4,43.0,66.0,42.0,0.0,0.0,0
2016-09-09,54.0,44.1,66.2,42.0,0.0,0.0,0
2016-09-10,51.1,43.9,60.4,42.0,0.0,0.0,0
2016-09-11,50.7,42.3,62.1,42.0,0.0,0.0,0
2016-09-12,44.1,37.4,56.5,42.0,0.0,0.0,0
2016-09-13,45.5,39.6,53.8,42.0,0.0,0.0,0
2016-09-14,42.3,38.8,49.3,42.0,0.1,0.0,0
2016-09-15,43.9,37.2,53.4,42.1,0.0,0.0,0
2016-09-16,45.7,37.0,54.9,42.1,0.1,0.0,0
2016-09-17,45.7,36.9,62.2,42.2,0.0,0.0,0
2016-09-18,49.6,37.8,68.0,42.2,0.1,0.0,0
2016-09-19,54.9,44.6,67.5,42.3,0.1,0.0,0
2016-09-20,51.8,41.9,61.0,42.4,0.1,0.0,0
2016-09-21,45.5,40.6,50.4,42.5,0.1,0.0,0
2016-09-22,46.0,43.0,52.2,42.6,0.3,0.0,0
2016-09-23,32.5,22.5,45.3,42.9,0.1,0.0,0
2016-09-24,31.5,23.0,42.1,43.0,0.2,0.0,0
2016-09-25,40.8,28.0,55.6,43.2,0.2,0.0,0
2016-09-26,44.8,33.1,63.1,43.4,0.0,0.0,0
2016-09-27,48.0,37.9,59.7,43.4,0.1,0.0,0
2016-09-28,50.9,42.1,66.4,43.5,0.1,0.0,0
2016-09-29,45.0,39.9,52.2,43.6,0.0,0.0,0
2016-09-30,44.6,38.3,55.2,43.6,0.0,0.0,0
