Date,Weminuche Creek (1160) Air Temperature Average (degF),Weminuche Creek (1160) Air Temperature Minimum (degF),Weminuche Creek (1160) Air Temperature Maximum (degF),Weminuche Creek (1160) Precipitation Accumulation (in) Start of Day Values,Weminuche Creek (1160) Precipitation Increment (in),Weminuche Creek (1160) Snow Water Equivalent (in) Start of Day Values,Weminuche Creek (1160) Snow Depth (in) Start of Day Values
2015-11-20,25.0,13.8,38.3,7.8,0.0,2.9,15
2015-11-21,23.7,13.1,37.0,7.8,0.0,2.9,14
2015-11-22,29.3,19.8,43.9,7.8,0.1,2.9,14
2015-11-23,28.8,22.6,41.7,7.9,0.0,2.9,14
2015-11-24,25.5,19.6,37.9,7.9,0.0,2.9,14
2015-11-25,25.7,18.0,32.5,7.9,0.1,2.9,14
2015-11-26,23.0,20.7,28.0,8.0,0.7,3.0,13
2015-11-27,21.9,16.2,30.0,8.7,0.2,3.6,21
2015-11-28,16.0,9.7,27.1,8.9,0.0,3.8,22
2015-11-29,14.0,6.4,19.8,8.9,0.1,3.8,21
2015-11-30,5.0,-3.5,19.0,9.0,0.0,4.1,26
2015-12-01,14.0,0.0,28.8,9.0,0.1,4.1,24
2015-12-02,22.3,13.1,35.2,9.1,0.1,4.1,23
2015-12-03,26.4,18.3,40.1,9.2,0.0,4.1,22
2015-12-04,26.4,20.3,37.2,9.2,0.1,4.2,21
2015-12-05,20.3,11.8,30.7,9.3,0.0,4.3,20
2015-12-06,27.3,16.7,43.2,9.3,0.1,4.3,22
2015-12-07,29.7,23.4,44.6,9.4,0.0,4.3,21
2015-12-08,32.9,25.3,46.2,9.4,0.0,4.4,20
2015-12-09,33.8,26.8,44.2,9.4,0.1,4.4,20
2015-12-10,29.1,23.2,40.5,9.5,0.0,4.4,19
2015-12-11,25.3,21.6,30.6,9.5,0.1,4.4,19
2015-12-12,21.7,17.4,27.1,9.6,0.7,4.5,20
2015-12-13,23.5,14.7,37.8,10.3,0.0,5.2,26
2015-12-14,12.9,3.9,18.3,10.3,0.9,5.2,25
2015-12-15,3.2,-2.7,11.3,11.2,0.0,6.2,39
2015-12-16,5.0,-4.7,21.7,11.2,0.1,6.2,36
2015-12-17,5.7,-4.0,21.4,11.3,0.1,6.2,35
2015-12-18,21.9,11.1,36.3,11.4,0.0,6.2,33
2015-12-19,25.5,19.0,36.7,11.4,0.1,6.3,31
2015-12-20,18.3,10.8,28.8,11.5,0.6,6.4,28
2015-12-21,14.5,7.9,21.6,12.1,0.4,7.1,37
2015-12-22,16.3,11.5,23.0,12.5,0.9,7.5,43
2015-12-23,12.7,-1.7,18.9,13.4,0.3,8.4,49
2015-12-24,5.5,-5.4,15.4,13.7,0.5,8.7,50
2015-12-25,9.7,-1.3,17.1,14.2,0.9,9.3,55
2015-12-26,5.4,-2.0,13.6,15.1,0.0,10.2,58
2015-12-27,16.7,6.1,34.2,15.1,0.0,10.2,54
2015-12-28,12.9,4.6,23.9,15.1,0.0,10.2,51
2015-12-29,7.9,0.7,17.4,15.1,0.0,10.2,48
2015-12-30,5.7,-0.2,16.7,15.1,0.1,10.2,48
2015-12-31,6.1,0.9,20.1,15.2,0.0,10.3,49
2016-01-01,10.0,2.1,28.8,15.2,0.1,10.3,50
2016-01-02,21.2,7.9,34.3,15.3,0.1,10.3,48
2016-01-03,25.3,18.3,39.6,15.4,0.0,10.3,46
2016-01-04,21.9,16.3,34.3,15.4,0.0,10.3,44
2016-01-05,18.3,14.4,23.7,15.4,0.3,10.4,44
2016-01-06,18.9,13.1,25.2,15.7,0.4,10.6,45
2016-01-07,14.4,9.0,21.9,16.1,0.1,11.1,50
2016-01-08,12.6,5.0,19.4,16.2,0.6,11.3,50
2016-01-09,8.4,1.8,20.1,16.8,0.0,11.9,58
2016-01-10,5.0,-5.1,24.3,16.8,0.0,11.9,56
2016-01-11,17.1,5.5,31.3,16.8,0.1,11.9,54
2016-01-12,24.6,11.8,40.3,16.9,0.0,11.9,52
2016-01-13,24.3,14.0,40.6,16.9,0.0,11.9,51
2016-01-14,13.5,5.0,23.9,16.9,0.0,11.9,50
2016-01-15,10.0,3.9,17.2,16.9,0.0,11.9,48
2016-01-16,11.1,2.7,24.1,16.9,0.0,11.9,49
2016-01-17,18.3,10.9,30.7,16.9,0.1,11.9,47
2016-01-18,22.1,16.3,33.8,17.0,0.0,12.0,47
2016-01-19,17.6,11.1,32.4,17.0,0.0,12.0,46
2016-01-20,15.3,8.1,25.2,17.0,0.1,12.0,45
2016-01-21,18.9,4.3,34.5,17.1,0.0,12.1,47
2016-01-22,29.8,21.7,44.4,17.1,0.0,12.1,45
2016-01-23,26.2,18.3,40.5,17.1,0.0,12.1,45
2016-01-24,16.7,7.3,23.4,17.1,0.1,12.1,45
2016-01-25,9.5,2.8,20.3,17.2,0.0,12.2,48
2016-01-26,15.4,2.1,29.5,17.2,0.0,12.2,47
2016-01-27,30.2,18.3,45.3,17.2,0.0,12.2,46
2016-01-28,29.5,21.2,47.8,17.2,0.0,12.2,45
2016-01-29,25.7,18.7,43.9,17.2,0.0,12.2,44
2016-01-30,25.5,19.9,40.6,17.2,0.3,12.2,44
2016-01-31,23.4,21.6,27.3,17.5,0.8,12.5,47
2016-02-01,10.8,-3.8,21.9,18.3,0.4,13.8,58
2016-02-02,3.4,-3.5,12.9,18.7,1.3,15.1,68
2016-02-03,-0.4,-8.3,15.4,20.0,0.1,15.3,67
2016-02-04,4.6,-7.2,23.5,20.1,0.0,15.3,64
2016-02-05,11.3,1.6,26.2,20.1,0.1,15.3,62
2016-02-06,22.6,10.0,37.9,20.2,0.0,15.3,61
2016-02-07,30.6,23.0,45.3,20.2,0.0,15.4,59
2016-02-08,31.3,23.2,43.7,20.2,0.0,15.5,57
2016-02-09,34.2,24.1,47.5,20.2,0.0,15.5,56
2016-02-10,35.2,25.0,50.7,20.2,0.0,15.5,55
2016-02-11,35.6,25.2,49.3,20.2,0.0,15.5,53
2016-02-12,36.5,27.7,51.3,20.2,0.0,15.4,52
2016-02-13,33.8,25.2,48.4,20.2,0.0,15.4,52
2016-02-14,29.5,21.6,42.1,20.2,0.0,15.4,51
2016-02-15,32.2,23.2,45.3,20.2,0.0,15.4,51
2016-02-16,32.5,21.7,47.5,20.2,0.0,15.4,50
2016-02-17,34.0,26.6,46.8,20.2,0.0,15.4,49
2016-02-18,31.8,27.5,37.9,20.2,0.0,15.4,49
2016-02-19,28.8,19.9,39.9,20.2,0.0,15.4,49
2016-02-20,32.0,23.9,46.6,20.2,0.0,15.4,49
2016-02-21,30.2,19.6,45.3,20.2,0.0,15.4,48
2016-02-22,21.6,15.8,32.2,20.2,0.1,15.4,47
2016-02-23,15.8,6.1,22.5,20.3,0.1,15.5,47
2016-02-24,19.0,5.4,32.5,20.4,0.0,15.5,48
2016-02-25,29.1,21.6,42.4,20.4,0.0,15.7,48
2016-02-26,30.9,21.6,46.0,20.4,0.0,15.7,47
2016-02-27,31.5,21.7,44.1,20.4,0.0,15.7,46
2016-02-28,32.5,23.4,46.6,20.4,0.0,15.7,45
2016-02-29,30.9,21.4,43.2,20.4,0.0,15.6,45
2016-03-01,31.6,21.9,44.1,20.4,0.0,15.5,43
2016-03-02,32.7,24.4,44.1,20.4,0.0,15.5,43
2016-03-03,34.3,25.2,46.6,20.4,0.0,15.5,43
2016-03-04,34.7,27.0,47.3,20.4,0.0,15.5,42
2016-03-05,33.3,23.5,45.9,20.4,0.1,15.4,41
2016-03-06,28.4,22.6,38.7,20.5,0.5,15.3,40
2016-03-07,19.9,11.3,31.6,21.0,0.0,15.6,44
2016-03-08,22.3,11.3,39.9,21.0,0.0,15.9,45
2016-03-09,23.5,12.4,35.2,21.0,0.0,15.9,44
2016-03-10,34.3,19.6,50.2,21.0,0.0,15.9,43
2016-03-11,36.3,25.7,49.8,21.0,0.1,15.9,42
2016-03-12,29.5,23.7,40.3,21.1,0.0,15.9,40
2016-03-13,28.8,19.0,38.8,21.1,0.0,15.9,40
2016-03-14,28.8,18.7,41.4,21.1,0.1,15.9,39
2016-03-15,23.5,15.1,36.9,21.2,0.0,15.9,39
2016-03-16,24.8,13.5,40.1,21.2,0.0,15.9,39
2016-03-17,28.4,16.3,41.9,21.2,0.0,15.9,38
2016-03-18,30.9,19.6,46.4,21.2,0.0,15.9,37
2016-03-19,29.7,20.8,42.3,21.2,0.0,15.9,36
2016-03-20,32.0,19.6,46.6,21.2,0.0,15.9,35
2016-03-21,38.1,25.3,50.4,21.2,0.0,15.9,34
2016-03-22,31.3,14.9,39.9,21.2,0.0,15.9,33
2016-03-23,19.2,11.3,30.4,21.2,0.0,15.9,33
2016-03-24,25.2,11.8,38.5,21.2,0.1,15.7,33
2016-03-25,23.7,16.3,35.6,21.3,0.0,15.1,33
2016-03-26,16.7,6.6,29.8,21.3,0.5,14.7,31
2016-03-27,22.3,5.0,38.5,21.8,0.1,15.7,38
2016-03-28,29.8,20.8,44.1,21.9,0.2,15.7,34
2016-03-29,20.5,6.3,28.8,22.1,0.9,15.7,33
2016-03-30,14.5,3.2,34.2,23.0,0.0,16.7,42
2016-03-31,18.0,6.6,33.1,23.0,0.0,16.7,40
2016-04-01,23.4,11.7,37.2,23.0,0.0,16.7,40
2016-04-02,29.1,14.9,44.6,23.0,0.0,16.7,37
2016-04-03,35.6,21.4,51.8,23.0,0.0,16.7,34
2016-04-04,38.3,25.7,54.1,23.0,0.0,16.0,32
2016-04-05,33.1,17.4,47.1,23.0,0.0,15.3,29
2016-04-06,36.3,18.3,52.2,23.0,0.0,14.2,28
2016-04-07,41.9,29.1,54.9,23.0,0.1,13.3,25
2016-04-08,34.3,30.2,43.7,23.1,0.5,12.3,23
2016-04-09,32.9,27.0,46.0,23.6,0.0,12.6,26
2016-04-10,34.9,25.5,50.4,23.6,0.1,12.5,25
2016-04-11,32.0,25.9,43.9,23.7,0.1,12.3,23
2016-04-12,32.2,25.0,45.9,23.8,0.1,11.9,23
2016-04-13,34.7,25.5,53.1,23.9,0.0,12.0,24
2016-04-14,38.1,30.0,47.7,23.9,0.1,12.0,22
2016-04-15,29.1,21.0,35.1,24.0,0.2,11.3,20
2016-04-16,22.3,14.5,30.4,24.2,0.5,11.3,23
2016-04-17,22.1,16.2,32.5,24.7,0.4,11.9,28
2016-04-18,22.6,14.2,34.3,25.1,0.2,12.4,31
2016-04-19,23.4,11.7,35.1,25.3,0.0,12.6,31
2016-04-20,32.9,21.6,48.2,25.3,0.0,12.6,29
2016-04-21,39.4,26.2,54.0,25.3,0.0,12.6,27
2016-04-22,41.9,31.5,56.1,25.3,0.0,12.2,25
2016-04-23,35.6,26.6,48.6,25.3,0.0,11.9,24
2016-04-24,34.3,20.5,48.4,25.3,0.0,11.4,23
2016-04-25,28.4,15.3,41.9,25.3,0.1,11.0,22
2016-04-26,23.0,14.5,33.8,25.4,0.0,10.3,21
2016-04-27,28.8,17.4,40.3,25.4,0.2,10.3,21
2016-04-28,29.3,23.2,42.8,25.6,0.4,10.1,20
2016-04-29,24.6,17.4,35.2,26.0,0.3,10.5,24
2016-04-30,25.7,15.3,40.6,26.3,0.1,10.9,23
2016-05-01,25.2,23.5,28.8,26.4,1.2,11.1,22
2016-05-02,29.5,18.7,43.9,27.6,0.0,12.3,32
2016-05-03,38.3,27.0,52.9,27.6,0.0,12.6,30
2016-05-04,41.9,31.3,58.6,27.6,0.0,12.3,29
2016-05-05,46.4,34.0,61.9,27.6,0.0,11.8,28
2016-05-06,42.3,31.3,57.9,27.6,0.0,11.0,26
2016-05-07,30.0,20.8,39.2,27.6,0.0,10.7,25
2016-05-08,28.2,21.6,40.3,27.6,0.3,10.7,25
2016-05-09,35.6,25.5,49.5,27.9,0.1,10.6,25
2016-05-10,36.7,28.8,50.9,28.0,0.4,10.5,25
2016-05-11,32.5,23.2,43.0,28.4,0.0,10.2,24
2016-05-12,39.4,25.3,54.1,28.4,0.0,10.1,24
2016-05-13,46.4,33.4,59.7,28.4,0.1,9.3,22
2016-05-14,47.5,36.5,60.6,28.5,0.0,7.5,18
2016-05-15,39.9,33.4,52.2,28.5,0.1,5.4,13
2016-05-16,31.6,25.7,41.4,28.6,0.4,4.6,11
2016-05-17,32.4,25.5,44.2,29.0,0.8,4.6,11
2016-05-18,32.5,28.2,42.3,29.8,0.6,5.5,13
2016-05-19,36.7,27.0,53.2,30.4,0.0,6.1,15
2016-05-20,41.9,32.4,54.1,30.4,0.0,5.7,14
2016-05-21,44.6,32.5,55.6,30.4,0.0,5.2,10
2016-05-22,40.3,30.0,52.2,30.4,0.0,4.3,7
2016-05-23,38.8,27.7,50.2,30.4,0.0,3.0,4
2016-05-24,41.0,30.2,51.8,30.4,0.0,1.6,2
2016-05-25,39.9,28.4,51.3,30.4,0.0,0.4,1
2016-05-26,35.6,27.9,45.3,30.4,0.0,0.0,0
2016-05-27,36.3,27.1,47.7,30.4,0.0,0.0,0
2016-05-28,38.5,29.7,47.7,30.4,0.1,0.0,0
2016-05-29,45.7,36.3,59.2,30.5,0.0,0.0,0
2016-05-30,46.8,36.9,58.8,30.5,0.0,0.0,0
2016-05-31,48.4,38.3,61.5,30.5,0.0,0.0,0
2016-06-01,46.8,35.8,59.5,30.5,0.0,0.0,0
2016-06-02,51.1,37.0,63.5,30.5,0.0,0.0,0
2016-06-03,53.6,41.9,64.0,30.5,0.0,0.0,0
2016-06-04,54.7,45.9,69.1,30.5,0.0,0.0,0
2016-06-05,56.7,43.5,69.8,30.5,0.0,0.0,0
2016-06-06,53.1,41.0,69.8,30.5,0.0,0.0,0
2016-06-07,55.2,44.2,69.4,30.5,0.0,0.0,0
2016-06-08,51.4,43.7,63.3,30.5,0.0,0.0,0
2016-06-09,57.9,47.1,71.4,30.5,0.0,0.0,0
2016-06-10,58.6,47.3,73.9,30.5,0.0,0.0,0
2016-06-11,55.0,46.2,67.5,30.5,0.0,0.0,0
2016-06-12,53.2,44.2,65.5,30.5,0.0,0.0,0
2016-06-13,49.5,37.2,63.7,30.5,0.0,0.0,0
2016-06-14,49.1,36.7,63.7,30.5,0.0,0.0,0
2016-06-15,54.0,40.8,68.0,30.5,0.0,0.0,0
2016-06-16,52.7,36.3,66.0,30.5,0.0,0.0,0
2016-06-17,57.2,44.8,71.6,30.5,0.0,0.0,0
2016-06-18,61.0,47.5,75.7,30.5,0.0,0.0,0
2016-06-19,64.0,47.8,76.6,30.5,0.0,0.0,0
2016-06-20,64.9,51.8,80.1,30.5,0.0,0.0,0
2016-06-21,59.9,47.5,78.8,30.5,0.1,0.0,0
2016-06-22,58.3,50.4,73.9,30.6,0.0,0.0,0
2016-06-23,58.8,45.5,73.6,30.6,0.0,0.0,0
2016-06-24,53.8,45.3,65.8,30.6,0.6,0.0,0
2016-06-25,57.0,49.5,69.4,31.2,0.0,0.0,0
2016-06-26,54.9,42.8,69.1,31.2,0.2,0.0,0
2016-06-27,60.1,47.5,73.9,31.4,0.1,0.0,0
2016-06-28,53.8,45.9,69.6,31.5,0.0,0.0,0
2016-06-29,53.6,45.3,69.6,31.5,0.0,0.0,0
2016-06-30,52.0,46.0,64.0,31.5,0.1,0.0,0
2016-07-01,45.7,42.6,54.0,31.6,0.8,0.0,0
2016-07-02,45.9,40.3,53.1,32.4,0.1,0.0,0
2016-07-03,50.2,42.3,59.7,32.5,0.0,0.0,0
2016-07-04,50.2,42.8,62.6,32.5,0.2,0.0,0
2016-07-05,56.1,43.0,69.8,32.7,0.0,0.0,0
2016-07-06,57.6,47.5,69.4,32.7,0.0,0.0,0
2016-07-07,57.7,44.8,70.5,32.7,0.0,0.0,0
2016-07-08,59.0,47.5,71.4,32.7,0.0,0.0,0
2016-07-09,59.9,49.1,73.0,32.7,0.0,0.0,0
2016-07-10,59.4,48.4,71.8,32.7,0.0,0.0,0
2016-07-11,55.9,43.9,68.4,32.7,0.0,0.0,0
2016-07-12,56.5,42.4,70.5,32.7,0.0,0.0,0
2016-07-13,59.7,46.0,72.0,32.7,0.0,0.0,0
2016-07-14,41.9,,73.4,32.7,0.0,0.0,0
2016-07-15,58.8,48.6,72.3,32.7,0.0,0.0,0
2016-07-16,59.2,48.4,72.9,32.7,0.0,0.0,0
2016-07-17,59.0,48.0,74.1,32.7,0.0,0.0,0
2016-07-18,57.4,45.7,75.2,32.7,0.5,0.0,0
2016-07-19,54.1,44.6,69.1,33.2,0.4,0.0,0
2016-07-20,53.2,42.8,67.3,33.6,0.3,0.0,0
2016-07-21,57.7,47.7,72.3,33.9,0.0,0.0,0
2016-07-22,58.8,47.8,71.4,33.9,0.1,0.0,0
2016-07-23,58.5,48.9,69.8,34.0,0.0,0.0,0
2016-07-24,57.6,49.3,69.4,34.0,0.0,0.0,0
2016-07-25,57.0,46.2,69.6,34.0,0.1,0.0,0
2016-07-26,54.3,46.8,67.8,34.1,0.4,0.0,0
2016-07-27,61.9,48.9,73.2,34.5,0.0,0.0,0
2016-07-28,59.7,47.3,73.4,34.5,0.0,0.0,0
2016-07-29,61.5,50.2,74.7,34.5,0.1,0.0,0
2016-07-30,55.4,47.1,71.4,34.6,0.0,0.0,0
2016-07-31,55.0,44.4,66.2,34.6,0.0,0.0,0
2016-08-01,53.6,46.6,66.4,34.6,0.0,0.0,0
2016-08-02,56.1,48.9,71.1,34.6,0.0,0.0,0
2016-08-03,53.6,45.9,68.7,34.6,0.2,0.0,0
2016-08-04,49.6,44.2,62.8,34.8,0.6,0.0,0
2016-08-05,48.2,44.2,51.4,35.4,1.6,0.0,0
2016-08-06,49.5,43.0,59.7,37.0,0.1,0.0,0
2016-08-07,51.8,43.7,62.6,37.1,0.5,0.0,0
2016-08-08,49.8,44.2,61.5,37.6,0.3,0.0,0
2016-08-09,53.2,45.0,66.9,37.9,0.0,0.0,0
2016-08-10,54.3,46.0,66.4,37.9,0.0,0.0,0
2016-08-11,54.0,42.4,67.6,37.9,0.0,0.0,0
2016-08-12,55.0,47.5,65.8,37.9,0.0,0.0,0
2016-08-13,50.9,43.7,60.4,37.9,0.0,0.0,0
2016-08-14,50.7,40.3,66.2,37.9,0.0,0.0,0
2016-08-15,52.9,43.0,66.2,37.9,0.1,0.0,0
2016-08-16,50.7,42.4,64.9,38.0,0.0,0.0,0
2016-08-17,48.9,41.2,61.2,38.0,0.1,0.0,0
2016-08-18,47.5,40.6,57.0,38.1,0.3,0.0,0
2016-08-19,48.0,40.5,58.8,38.4,0.0,0.0,0
2016-08-20,49.3,39.4,59.9,38.4,0.0,0.0,0
2016-08-21,49.1,39.0,63.9,38.4,0.0,0.0,0
2016-08-22,44.1,38.7,57.2,38.4,0.4,0.0,0
2016-08-23,41.0,37.8,51.8,38.8,0.7,0.0,0
2016-08-24,44.1,38.3,53.6,39.5,0.0,0.0,0
2016-08-25,44.2,37.2,57.4,39.5,0.0,0.0,0
2016-08-26,42.3,37.2,51.6,39.5,0.0,0.0,0
2016-08-27,43.2,36.3,54.7,39.5,0.1,0.0,0
2016-08-28,46.2,36.1,59.9,39.6,0.0,0.0,0
2016-08-29,44.6,38.5,55.0,39.6,0.0,0.0,0
2016-08-30,47.8,38.8,59.4,39.6,0.0,0.0,0
2016-08-31,50.7,40.1,63.0,39.6,0.1,0.0,0
2016-09-01,49.3,42.4,63.5,39.7,0.4,0.0,0
2016-09-02,48.6,41.7,59.9,40.1,0.4,0.0,0
2016-09-03,47.3,41.0,61.0,40.5,0.0,0.0,0
2016-09-04,47.5,40.3,59.5,40.5,0.2,0.0,0
2016-09-05,51.3,39.9,63.3,40.7,0.0,0.0,0
2016-09-06,49.1,39.2,62.6,40.7,0.1,0.0,0
2016-09-07,49.3,39.9,61.0,40.8,0.0,0.0,0
2016-09-08,54.3,44.4,66.4,40.8,0.0,0.0,0
2016-09-09,54.0,42.6,68.5,40.8,0.0,0.0,0
2016-09-10,51.4,42.6,63.5,40.8,0.0,0.0,0
2016-09-11,49.8,40.5,63.3,40.8,0.0,0.0,0
2016-09-12,43.0,36.3,58.6,40.8,0.1,0.0,0
2016-09-13,43.7,37.2,57.0,40.9,0.0,0.0,0
2016-09-14,42.3,37.8,52.2,40.9,0.2,0.0,0
2016-09-15,43.0,32.5,57.4,41.1,0.0,0.0,0
2016-09-16,44.8,33.8,58.8,41.1,0.0,0.0,0
2016-09-17,45.9,33.8,61.3,41.1,0.0,0.0,0
2016-09-18,49.6,37.2,65.1,41.1,0.0,0.0,0
2016-09-19,54.7,43.9,68.9,41.1,0.1,0.0,0
2016-09-20,48.9,40.1,58.5,41.2,0.2,0.0,0
2016-09-21,45.0,40.1,51.6,41.4,0.4,0.0,0
2016-09-22,45.3,38.1,56.1,41.8,0.3,0.0,0
2016-09-23,30.0,20.1,40.1,42.1,0.7,0.0,0
2016-09-24,30.6,21.0,40.1,42.8,0.1,0.0,0
2016-09-25,41.0,28.0,55.4,42.9,0.1,0.0,0
2016-09-26,45.3,31.3,60.6,43.0,0.0,0.0,0
2016-09-27,47.7,36.9,60.6,43.0,0.0,0.0,0
2016-09-28,49.6,40.3,62.6,43.0,0.0,0.0,0
2016-09-29,42.8,39.0,55.0,43.0,0.0,0.0,0
2016-09-30,42.6,36.0,55.8,43.0,0.1,0.0,0
